Total Nacional;Comunidades y Ciudades Autónomas;Producto consumido;año;Total
Total Nacional;02 Aragón;Carbón y coque;2022;409
Total Nacional;02 Aragón;Carbón y coque;2021;3.573
Total Nacional;02 Aragón;Carbón y coque;2019;3.781
Total Nacional;02 Aragón;Carbón y coque;2017;7.032
Total Nacional;02 Aragón;Carbón y coque;2015;5.918
Total Nacional;02 Aragón;Biocombustibles;2022;3.723
Total Nacional;02 Aragón;Biocombustibles;2021;3.052
Total Nacional;02 Aragón;Biocombustibles;2019;3.025
Total Nacional;02 Aragón;Biocombustibles;2017;1.466
Total Nacional;02 Aragón;Biocombustibles;2015;2.082
Total Nacional;02 Aragón;Calor y otros consumos energéticos;2022;4.948
Total Nacional;02 Aragón;Calor y otros consumos energéticos;2021;4.518
Total Nacional;02 Aragón;Calor y otros consumos energéticos;2019;4.274
Total Nacional;02 Aragón;Calor y otros consumos energéticos;2017;4.041
Total Nacional;02 Aragón;Calor y otros consumos energéticos;2015;4.021
Total Nacional;02 Aragón;Total consumos energéticos;2022;1.096.288
Total Nacional;02 Aragón;Total consumos energéticos;2021;694.626
Total Nacional;02 Aragón;Total consumos energéticos;2019;509.464
Total Nacional;02 Aragón;Total consumos energéticos;2017;457.525
Total Nacional;02 Aragón;Total consumos energéticos;2015;506.822
Total Nacional;03 Asturias, Principado de;Electricidad;2022;936.136
Total Nacional;03 Asturias, Principado de;Electricidad;2021;543.877
Total Nacional;03 Asturias, Principado de;Electricidad;2019;316.955
Total Nacional;03 Asturias, Principado de;Electricidad;2017;304.714
Total Nacional;03 Asturias, Principado de;Electricidad;2015;327.559
Total Nacional;03 Asturias, Principado de;Gas;2022;283.772
Total Nacional;03 Asturias, Principado de;Gas;2021;174.503
Total Nacional;03 Asturias, Principado de;Gas;2019;116.136
Total Nacional;03 Asturias, Principado de;Gas;2017;95.456
Total Nacional;03 Asturias, Principado de;Gas;2015;108.397
Total Nacional;03 Asturias, Principado de;Gasóleo;2022;18.895
Total Nacional;03 Asturias, Principado de;Gasóleo;2021;11.665
Total Nacional;03 Asturias, Principado de;Gasóleo;2019;13.795
Total Nacional;03 Asturias, Principado de;Gasóleo;2017;13.952
Total Nacional;03 Asturias, Principado de;Gasóleo;2015;14.581
Total Nacional;03 Asturias, Principado de;Fueloil;2022;21.144
Total Nacional;03 Asturias, Principado de;Fueloil;2021;4.175
Total Nacional;03 Asturias, Principado de;Fueloil;2019;4.918
Total Nacional;03 Asturias, Principado de;Fueloil;2017;3.462
Total Nacional;03 Asturias, Principado de;Fueloil;2015;5.447
Total Nacional;03 Asturias, Principado de;Otros productos petrolíferos;2022;16.215
Total Nacional;03 Asturias, Principado de;Otros productos petrolíferos;2021;1.906
Total Nacional;03 Asturias, Principado de;Otros productos petrolíferos;2019;1.242
Total Nacional;03 Asturias, Principado de;Otros productos petrolíferos;2017;4.874
Total Nacional;03 Asturias, Principado de;Otros productos petrolíferos;2015;3.840
Total Nacional;03 Asturias, Principado de;Carbón y coque;2022;2.654
Total Nacional;03 Asturias, Principado de;Carbón y coque;2021;10.198
Total Nacional;03 Asturias, Principado de;Carbón y coque;2019;9.167
Total Nacional;03 Asturias, Principado de;Carbón y coque;2017;9.061
Total Nacional;03 Asturias, Principado de;Carbón y coque;2015;11.467
Total Nacional;03 Asturias, Principado de;Biocombustibles;2022;2.599
Total Nacional;03 Asturias, Principado de;Biocombustibles;2021;174
Total Nacional;03 Asturias, Principado de;Biocombustibles;2019;125
Total Nacional;03 Asturias, Principado de;Biocombustibles;2017;341
Total Nacional;03 Asturias, Principado de;Biocombustibles;2015;10.009
Total Nacional;03 Asturias, Principado de;Calor y otros consumos energéticos;2022;72.221
Total Nacional;03 Asturias, Principado de;Calor y otros consumos energéticos;2021;55.972
Total Nacional;03 Asturias, Principado de;Calor y otros consumos energéticos;2019;39.528
Total Nacional;03 Asturias, Principado de;Calor y otros consumos energéticos;2017;26.413
Total Nacional;03 Asturias, Principado de;Calor y otros consumos energéticos;2015;13.883
Total Nacional;03 Asturias, Principado de;Total consumos energéticos;2022;1.353.638
Total Nacional;03 Asturias, Principado de;Total consumos energéticos;2021;802.470
Total Nacional;03 Asturias, Principado de;Total consumos energéticos;2019;501.867
Total Nacional;03 Asturias, Principado de;Total consumos energéticos;2017;458.272
Total Nacional;03 Asturias, Principado de;Total consumos energéticos;2015;495.183
Total Nacional;04 Balears, Illes;Electricidad;2022;25.137
Total Nacional;04 Balears, Illes;Electricidad;2021;12.505
Total Nacional;04 Balears, Illes;Electricidad;2019;16.421
Total Nacional;04 Balears, Illes;Electricidad;2017;14.537
Total Nacional;04 Balears, Illes;Electricidad;2015;14.761
Total Nacional;04 Balears, Illes;Gas;2022;2.997
Total Nacional;04 Balears, Illes;Gas;2021;5.794
Total Nacional;04 Balears, Illes;Gas;2019;4.533
Total Nacional;04 Balears, Illes;Gas;2017;3.750
Total Nacional;04 Balears, Illes;Gas;2015;4.801
Total Nacional;04 Balears, Illes;Gasóleo;2022;5.142
Total Nacional;04 Balears, Illes;Gasóleo;2021;3.623
Total Nacional;04 Balears, Illes;Gasóleo;2019;4.165
Total Nacional;04 Balears, Illes;Gasóleo;2017;3.522
Total Nacional;04 Balears, Illes;Gasóleo;2015;3.929
Total Nacional;04 Balears, Illes;Fueloil;2022;768
Total Nacional;04 Balears, Illes;Fueloil;2021;177
Total Nacional;04 Balears, Illes;Fueloil;2019;422
Total Nacional;04 Balears, Illes;Fueloil;2017;223
Total Nacional;04 Balears, Illes;Fueloil;2015;198
Total Nacional;04 Balears, Illes;Otros productos petrolíferos;2022;2.499
Total Nacional;04 Balears, Illes;Otros productos petrolíferos;2021;822
Total Nacional;04 Balears, Illes;Otros productos petrolíferos;2019;458
Total Nacional;04 Balears, Illes;Otros productos petrolíferos;2017;374
Total Nacional;04 Balears, Illes;Otros productos petrolíferos;2015;257
Total Nacional;04 Balears, Illes;Carbón y coque;2022;17
Total Nacional;04 Balears, Illes;Carbón y coque;2021;914
Total Nacional;04 Balears, Illes;Carbón y coque;2019;1.552
Total Nacional;04 Balears, Illes;Carbón y coque;2017;3.682
Total Nacional;04 Balears, Illes;Carbón y coque;2015;3.609
Total Nacional;04 Balears, Illes;Biocombustibles;2022;558
Total Nacional;04 Balears, Illes;Biocombustibles;2021;158
Total Nacional;04 Balears, Illes;Biocombustibles;2019;518
Total Nacional;04 Balears, Illes;Biocombustibles;2017;218
Total Nacional;04 Balears, Illes;Biocombustibles;2015;434
Total Nacional;04 Balears, Illes;Calor y otros consumos energéticos;2022;217
Total Nacional;04 Balears, Illes;Calor y otros consumos energéticos;2021;30
Total Nacional;04 Balears, Illes;Calor y otros consumos energéticos;2019;78
Total Nacional;04 Balears, Illes;Calor y otros consumos energéticos;2017;135
Total Nacional;04 Balears, Illes;Calor y otros consumos energéticos;2015;123
Total Nacional;04 Balears, Illes;Total consumos energéticos;2022;37.335
Total Nacional;04 Balears, Illes;Total consumos energéticos;2021;24.023
Total Nacional;04 Balears, Illes;Total consumos energéticos;2019;28.148
Total Nacional;04 Balears, Illes;Total consumos energéticos;2017;26.442
Total Nacional;04 Balears, Illes;Total consumos energéticos;2015;28.112
Total Nacional;05 Canarias;Electricidad;2022;55.808
Total Nacional;05 Canarias;Electricidad;2021;38.048
Total Nacional;05 Canarias;Electricidad;2019;34.048
Total Nacional;05 Canarias;Electricidad;2017;31.958
Total Nacional;05 Canarias;Electricidad;2015;32.801
Total Nacional;05 Canarias;Gas;2022;4.457
Total Nacional;05 Canarias;Gas;2021;3.813
Total Nacional;05 Canarias;Gas;2019;7.328
Total Nacional;05 Canarias;Gas;2017;5.487
Total Nacional;05 Canarias;Gas;2015;5.912
Total Nacional;05 Canarias;Gasóleo;2022;11.275
Total Nacional;05 Canarias;Gasóleo;2021;8.808
Total Nacional;05 Canarias;Gasóleo;2019;10.050
Total Nacional;05 Canarias;Gasóleo;2017;9.157
Total Nacional;05 Canarias;Gasóleo;2015;9.744
Total Nacional;05 Canarias;Fueloil;2022;3.691
Total Nacional;05 Canarias;Fueloil;2021;2.832
Total Nacional;05 Canarias;Fueloil;2019;4.304
Total Nacional;05 Canarias;Fueloil;2017;3.453
Total Nacional;05 Canarias;Fueloil;2015;4.043
Total Nacional;05 Canarias;Otros productos petrolíferos;2022;7.138
Total Nacional;05 Canarias;Otros productos petrolíferos;2021;2.640
Total Nacional;05 Canarias;Otros productos petrolíferos;2019;1.568
Total Nacional;05 Canarias;Otros productos petrolíferos;2017;1.782
Total Nacional;05 Canarias;Otros productos petrolíferos;2015;3.490
Total Nacional;05 Canarias;Carbón y coque;2022;58
Total Nacional;05 Canarias;Carbón y coque;2021;339
Total Nacional;05 Canarias;Carbón y coque;2019;1.596
Total Nacional;05 Canarias;Carbón y coque;2017;2.089
Total Nacional;05 Canarias;Carbón y coque;2015;1.925
Total Nacional;05 Canarias;Biocombustibles;2022;1.077
Total Nacional;05 Canarias;Biocombustibles;2021;127
Total Nacional;05 Canarias;Biocombustibles;2019;121
Total Nacional;05 Canarias;Biocombustibles;2017;72
Total Nacional;05 Canarias;Biocombustibles;2015;10
Total Nacional;05 Canarias;Calor y otros consumos energéticos;2022;626
Total Nacional;05 Canarias;Calor y otros consumos energéticos;2021;726
Total Nacional;05 Canarias;Calor y otros consumos energéticos;2019;580
Total Nacional;05 Canarias;Calor y otros consumos energéticos;2017;151
Total Nacional;05 Canarias;Calor y otros consumos energéticos;2015;287
Total Nacional;05 Canarias;Total consumos energéticos;2022;84.130
Total Nacional;05 Canarias;Total consumos energéticos;2021;57.334
Total Nacional;05 Canarias;Total consumos energéticos;2019;59.596
Total Nacional;05 Canarias;Total consumos energéticos;2017;54.148
Total Nacional;05 Canarias;Total consumos energéticos;2015;58.212
Total Nacional;06 Cantabria;Electricidad;2022;377.849
Total Nacional;06 Cantabria;Electricidad;2021;233.187
Total Nacional;06 Cantabria;Electricidad;2019;142.352
Total Nacional;06 Cantabria;Electricidad;2017;152.876
Total Nacional;06 Cantabria;Electricidad;2015;154.383
Total Nacional;06 Cantabria;Gas;2022;141.680
Total Nacional;06 Cantabria;Gas;2021;56.709
Total Nacional;06 Cantabria;Gas;2019;51.612
Total Nacional;06 Cantabria;Gas;2017;58.998
Total Nacional;06 Cantabria;Gas;2015;73.432
Total Nacional;06 Cantabria;Gasóleo;2022;12.177
Total Nacional;06 Cantabria;Gasóleo;2021;9.225
Total Nacional;06 Cantabria;Gasóleo;2019;13.506
Total Nacional;06 Cantabria;Gasóleo;2017;10.858
Total Nacional;06 Cantabria;Gasóleo;2015;10.669
Total Nacional;06 Cantabria;Fueloil;2022;2.812
Total Nacional;06 Cantabria;Fueloil;2021;2.364
Total Nacional;06 Cantabria;Fueloil;2019;4.369
Total Nacional;06 Cantabria;Fueloil;2017;1.839
Total Nacional;06 Cantabria;Fueloil;2015;1.935
Total Nacional;06 Cantabria;Otros productos petrolíferos;2022;3.457
Total Nacional;06 Cantabria;Otros productos petrolíferos;2021;641
Total Nacional;06 Cantabria;Otros productos petrolíferos;2019;13.318
Total Nacional;06 Cantabria;Otros productos petrolíferos;2017;784
Total Nacional;06 Cantabria;Otros productos petrolíferos;2015;586
Total Nacional;06 Cantabria;Carbón y coque;2022;7.795
Total Nacional;06 Cantabria;Carbón y coque;2021;2.841
Total Nacional;06 Cantabria;Carbón y coque;2019;4.431
Total Nacional;06 Cantabria;Carbón y coque;2017;24.436
Total Nacional;06 Cantabria;Carbón y coque;2015;26.508
Total Nacional;06 Cantabria;Biocombustibles;2022;945
Total Nacional;06 Cantabria;Biocombustibles;2021;262
Total Nacional;06 Cantabria;Biocombustibles;2019;784
Total Nacional;06 Cantabria;Biocombustibles;2017;427
Total Nacional;06 Cantabria;Biocombustibles;2015;581
Total Nacional;06 Cantabria;Calor y otros consumos energéticos;2022;37.448
Total Nacional;06 Cantabria;Calor y otros consumos energéticos;2021;21.708
Total Nacional;06 Cantabria;Calor y otros consumos energéticos;2019;2.332
Total Nacional;06 Cantabria;Calor y otros consumos energéticos;2017;15.518
Total Nacional;06 Cantabria;Calor y otros consumos energéticos;2015;20.255
Total Nacional;06 Cantabria;Total consumos energéticos;2022;584.164
Total Nacional;06 Cantabria;Total consumos energéticos;2021;326.938
Total Nacional;06 Cantabria;Total consumos energéticos;2019;232.706
Total Nacional;06 Cantabria;Total consumos energéticos;2017;265.734
Total Nacional;06 Cantabria;Total consumos energéticos;2015;288.350
Total Nacional;07 Castilla y León;Electricidad;2022;873.255
Total Nacional;07 Castilla y León;Electricidad;2021;522.358
Total Nacional;07 Castilla y León;Electricidad;2019;422.607
Total Nacional;07 Castilla y León;Electricidad;2017;379.885
Total Nacional;07 Castilla y León;Electricidad;2015;380.329
Total Nacional;07 Castilla y León;Gas;2022;427.336
Total Nacional;07 Castilla y León;Gas;2021;217.921
Total Nacional;07 Castilla y León;Gas;2019;203.322
Total Nacional;07 Castilla y León;Gas;2017;182.753
Total Nacional;07 Castilla y León;Gas;2015;226.570
Total Nacional;07 Castilla y León;Gasóleo;2022;73.892
Total Nacional;07 Castilla y León;Gasóleo;2021;47.725
Total Nacional;07 Castilla y León;Gasóleo;2019;62.468
Total Nacional;07 Castilla y León;Gasóleo;2017;53.110
Total Nacional;07 Castilla y León;Gasóleo;2015;67.742
Total Nacional;07 Castilla y León;Fueloil;2022;7.975
Total Nacional;07 Castilla y León;Fueloil;2021;3.185
Total Nacional;07 Castilla y León;Fueloil;2019;3.509
Total Nacional;07 Castilla y León;Fueloil;2017;4.715
Total Nacional;07 Castilla y León;Fueloil;2015;4.892
Total Nacional;07 Castilla y León;Otros productos petrolíferos;2022;21.562
Total Nacional;07 Castilla y León;Otros productos petrolíferos;2021;4.765
Total Nacional;07 Castilla y León;Otros productos petrolíferos;2019;4.298
Total Nacional;07 Castilla y León;Otros productos petrolíferos;2017;5.645
Total Nacional;07 Castilla y León;Otros productos petrolíferos;2015;5.917
Total Nacional;07 Castilla y León;Carbón y coque;2022;2.235
Total Nacional;07 Castilla y León;Carbón y coque;2021;7.671
Total Nacional;07 Castilla y León;Carbón y coque;2019;8.535
Total Nacional;07 Castilla y León;Carbón y coque;2017;11.620
Total Nacional;07 Castilla y León;Carbón y coque;2015;11.423
Total Nacional;07 Castilla y León;Biocombustibles;2022;19.395
Total Nacional;07 Castilla y León;Biocombustibles;2021;3.104
Total Nacional;07 Castilla y León;Biocombustibles;2019;5.424
Total Nacional;07 Castilla y León;Biocombustibles;2017;1.463
Total Nacional;07 Castilla y León;Biocombustibles;2015;4.598
Total Nacional;07 Castilla y León;Calor y otros consumos energéticos;2022;97.224
Total Nacional;07 Castilla y León;Calor y otros consumos energéticos;2021;26.376
Total Nacional;07 Castilla y León;Calor y otros consumos energéticos;2019;12.751
Total Nacional;07 Castilla y León;Calor y otros consumos energéticos;2017;10.565
Total Nacional;07 Castilla y León;Calor y otros consumos energéticos;2015;14.350
Total Nacional;07 Castilla y León;Total consumos energéticos;2022;1.522.874
Total Nacional;07 Castilla y León;Total consumos energéticos;2021;833.103
Total Nacional;07 Castilla y León;Total consumos energéticos;2019;722.914
Total Nacional;07 Castilla y León;Total consumos energéticos;2017;649.756
Total Nacional;07 Castilla y León;Total consumos energéticos;2015;715.821
Total Nacional;08 Castilla - La Mancha;Electricidad;2022;699.022
Total Nacional;08 Castilla - La Mancha;Electricidad;2021;384.581
Total Nacional;08 Castilla - La Mancha;Electricidad;2019;285.015
Total Nacional;08 Castilla - La Mancha;Electricidad;2017;255.498
Total Nacional;08 Castilla - La Mancha;Electricidad;2015;240.499
Total Nacional;08 Castilla - La Mancha;Gas;2022;280.807
Total Nacional;08 Castilla - La Mancha;Gas;2021;173.356
Total Nacional;08 Castilla - La Mancha;Gas;2019;167.890
Total Nacional;08 Castilla - La Mancha;Gas;2017;135.825
Total Nacional;08 Castilla - La Mancha;Gas;2015;142.366
Total Nacional;08 Castilla - La Mancha;Gasóleo;2022;60.229
Total Nacional;08 Castilla - La Mancha;Gasóleo;2021;47.805
Total Nacional;08 Castilla - La Mancha;Gasóleo;2019;43.690
Total Nacional;08 Castilla - La Mancha;Gasóleo;2017;36.256
Total Nacional;08 Castilla - La Mancha;Gasóleo;2015;36.284
Total Nacional;08 Castilla - La Mancha;Fueloil;2022;5.166
Total Nacional;08 Castilla - La Mancha;Fueloil;2021;3.857
Total Nacional;08 Castilla - La Mancha;Fueloil;2019;22.210
Total Nacional;08 Castilla - La Mancha;Fueloil;2017;19.356
Total Nacional;08 Castilla - La Mancha;Fueloil;2015;12.700
Total Nacional;08 Castilla - La Mancha;Otros productos petrolíferos;2022;21.360
Total Nacional;08 Castilla - La Mancha;Otros productos petrolíferos;2021;3.770
Total Nacional;08 Castilla - La Mancha;Otros productos petrolíferos;2019;1.910
Total Nacional;08 Castilla - La Mancha;Otros productos petrolíferos;2017;3.128
Total Nacional;08 Castilla - La Mancha;Otros productos petrolíferos;2015;2.561
Total Nacional;08 Castilla - La Mancha;Carbón y coque;2022;4.714
Total Nacional;08 Castilla - La Mancha;Carbón y coque;2021;11.561
Total Nacional;08 Castilla - La Mancha;Carbón y coque;2019;10.508
Total Nacional;08 Castilla - La Mancha;Carbón y coque;2017;3.684
Total Nacional;08 Castilla - La Mancha;Carbón y coque;2015;4.108
Total Nacional;08 Castilla - La Mancha;Biocombustibles;2022;4.138
Total Nacional;08 Castilla - La Mancha;Biocombustibles;2021;2.232
Total Nacional;08 Castilla - La Mancha;Biocombustibles;2019;3.752
Total Nacional;08 Castilla - La Mancha;Biocombustibles;2017;1.911
Total Nacional;08 Castilla - La Mancha;Biocombustibles;2015;1.318
Total Nacional;08 Castilla - La Mancha;Calor y otros consumos energéticos;2022;56.418
Total Nacional;08 Castilla - La Mancha;Calor y otros consumos energéticos;2021;18.933
Total Nacional;08 Castilla - La Mancha;Calor y otros consumos energéticos;2019;24.461
Total Nacional;08 Castilla - La Mancha;Calor y otros consumos energéticos;2017;21.003
Total Nacional;08 Castilla - La Mancha;Calor y otros consumos energéticos;2015;19.067
Total Nacional;08 Castilla - La Mancha;Total consumos energéticos;2022;1.131.855
Total Nacional;08 Castilla - La Mancha;Total consumos energéticos;2021;646.096
Total Nacional;08 Castilla - La Mancha;Total consumos energéticos;2019;559.435
Total Nacional;08 Castilla - La Mancha;Total consumos energéticos;2017;476.661
Total Nacional;08 Castilla - La Mancha;Total consumos energéticos;2015;458.902
Total Nacional;09 Cataluña;Electricidad;2022;3.059.538
Total Nacional;09 Cataluña;Electricidad;2021;1.889.476
Total Nacional;09 Cataluña;Electricidad;2019;1.414.503
Total Nacional;09 Cataluña;Electricidad;2017;1.438.588
Total Nacional;09 Cataluña;Electricidad;2015;1.454.723
Total Nacional;09 Cataluña;Gas;2022;1.299.161
Total Nacional;09 Cataluña;Gas;2021;639.091
Total Nacional;09 Cataluña;Gas;2019;738.889
Total Nacional;09 Cataluña;Gas;2017;630.983
Total Nacional;09 Cataluña;Gas;2015;740.968
Total Nacional;09 Cataluña;Gasóleo;2022;106.308
Total Nacional;09 Cataluña;Gasóleo;2021;87.473
Total Nacional;09 Cataluña;Gasóleo;2019;109.747
Total Nacional;09 Cataluña;Gasóleo;2017;108.535
Total Nacional;09 Cataluña;Gasóleo;2015;96.591
Total Nacional;09 Cataluña;Fueloil;2022;4.671
Total Nacional;09 Cataluña;Fueloil;2021;3.895
Total Nacional;09 Cataluña;Fueloil;2019;8.829
Total Nacional;09 Cataluña;Fueloil;2017;6.465
Total Nacional;09 Cataluña;Fueloil;2015;9.223
Total Nacional;09 Cataluña;Otros productos petrolíferos;2022;44.445
Total Nacional;09 Cataluña;Otros productos petrolíferos;2021;16.447
Total Nacional;09 Cataluña;Otros productos petrolíferos;2019;12.222
Total Nacional;09 Cataluña;Otros productos petrolíferos;2017;18.130
Total Nacional;09 Cataluña;Otros productos petrolíferos;2015;10.888
Total Nacional;09 Cataluña;Carbón y coque;2022;5.772
Total Nacional;09 Cataluña;Carbón y coque;2021;17.758
Total Nacional;09 Cataluña;Carbón y coque;2019;16.239
Total Nacional;09 Cataluña;Carbón y coque;2017;16.839
Total Nacional;09 Cataluña;Carbón y coque;2015;20.197
Total Nacional;09 Cataluña;Biocombustibles;2022;12.410
Total Nacional;09 Cataluña;Biocombustibles;2021;5.425
Total Nacional;09 Cataluña;Biocombustibles;2019;9.964
Total Nacional;09 Cataluña;Biocombustibles;2017;2.827
Total Nacional;09 Cataluña;Biocombustibles;2015;4.156
Total Nacional;09 Cataluña;Calor y otros consumos energéticos;2022;287.848
