Actividad principal (CNAE-2009 a 1, 2 y 3 dígitos);Producto consumido;año;Total
05 Extracción de antracita, hulla y lignito;Otros productos petrolíferos;2022;0
05 Extracción de antracita, hulla y lignito;Otros productos petrolíferos;2021;0
05 Extracción de antracita, hulla y lignito;Otros productos petrolíferos;2019;..
05 Extracción de antracita, hulla y lignito;Otros productos petrolíferos;2017;16
05 Extracción de antracita, hulla y lignito;Otros productos petrolíferos;2015;27
05 Extracción de antracita, hulla y lignito;Carbón y coque;2022;0
05 Extracción de antracita, hulla y lignito;Carbón y coque;2021;0
05 Extracción de antracita, hulla y lignito;Carbón y coque;2019;..
05 Extracción de antracita, hulla y lignito;Carbón y coque;2017;0
05 Extracción de antracita, hulla y lignito;Carbón y coque;2015;0
05 Extracción de antracita, hulla y lignito;Biocombustibles;2022;0
05 Extracción de antracita, hulla y lignito;Biocombustibles;2021;0
05 Extracción de antracita, hulla y lignito;Biocombustibles;2019;..
05 Extracción de antracita, hulla y lignito;Biocombustibles;2017;0
05 Extracción de antracita, hulla y lignito;Biocombustibles;2015;0
05 Extracción de antracita, hulla y lignito;Calor y otros consumos energéticos;2022;0
05 Extracción de antracita, hulla y lignito;Calor y otros consumos energéticos;2021;0
05 Extracción de antracita, hulla y lignito;Calor y otros consumos energéticos;2019;..
05 Extracción de antracita, hulla y lignito;Calor y otros consumos energéticos;2017;0
05 Extracción de antracita, hulla y lignito;Calor y otros consumos energéticos;2015;0
05 Extracción de antracita, hulla y lignito;Total consumos energéticos;2022;428
05 Extracción de antracita, hulla y lignito;Total consumos energéticos;2021;153
05 Extracción de antracita, hulla y lignito;Total consumos energéticos;2019;..
05 Extracción de antracita, hulla y lignito;Total consumos energéticos;2017;25.585
05 Extracción de antracita, hulla y lignito;Total consumos energéticos;2015;35.700
051 Extracción de antracita y hulla;Electricidad;2022;427
051 Extracción de antracita y hulla;Electricidad;2021;33
051 Extracción de antracita y hulla;Electricidad;2019;..
051 Extracción de antracita y hulla;Electricidad;2017;..
051 Extracción de antracita y hulla;Electricidad;2015;..
051 Extracción de antracita y hulla;Gas;2022;0
051 Extracción de antracita y hulla;Gas;2021;0
051 Extracción de antracita y hulla;Gas;2019;..
051 Extracción de antracita y hulla;Gas;2017;..
051 Extracción de antracita y hulla;Gas;2015;..
051 Extracción de antracita y hulla;Gasóleo;2022;1
051 Extracción de antracita y hulla;Gasóleo;2021;120
051 Extracción de antracita y hulla;Gasóleo;2019;..
051 Extracción de antracita y hulla;Gasóleo;2017;..
051 Extracción de antracita y hulla;Gasóleo;2015;..
051 Extracción de antracita y hulla;Fueloil;2022;0
051 Extracción de antracita y hulla;Fueloil;2021;0
051 Extracción de antracita y hulla;Fueloil;2019;..
051 Extracción de antracita y hulla;Fueloil;2017;..
051 Extracción de antracita y hulla;Fueloil;2015;..
051 Extracción de antracita y hulla;Otros productos petrolíferos;2022;0
051 Extracción de antracita y hulla;Otros productos petrolíferos;2021;0
051 Extracción de antracita y hulla;Otros productos petrolíferos;2019;..
051 Extracción de antracita y hulla;Otros productos petrolíferos;2017;..
051 Extracción de antracita y hulla;Otros productos petrolíferos;2015;..
051 Extracción de antracita y hulla;Carbón y coque;2022;0
051 Extracción de antracita y hulla;Carbón y coque;2021;0
051 Extracción de antracita y hulla;Carbón y coque;2019;..
051 Extracción de antracita y hulla;Carbón y coque;2017;..
051 Extracción de antracita y hulla;Carbón y coque;2015;..
051 Extracción de antracita y hulla;Biocombustibles;2022;0
051 Extracción de antracita y hulla;Biocombustibles;2021;0
051 Extracción de antracita y hulla;Biocombustibles;2019;..
051 Extracción de antracita y hulla;Biocombustibles;2017;..
051 Extracción de antracita y hulla;Biocombustibles;2015;..
051 Extracción de antracita y hulla;Calor y otros consumos energéticos;2022;0
051 Extracción de antracita y hulla;Calor y otros consumos energéticos;2021;0
051 Extracción de antracita y hulla;Calor y otros consumos energéticos;2019;..
051 Extracción de antracita y hulla;Calor y otros consumos energéticos;2017;..
051 Extracción de antracita y hulla;Calor y otros consumos energéticos;2015;..
051 Extracción de antracita y hulla;Total consumos energéticos;2022;428
051 Extracción de antracita y hulla;Total consumos energéticos;2021;153
051 Extracción de antracita y hulla;Total consumos energéticos;2019;..
051 Extracción de antracita y hulla;Total consumos energéticos;2017;..
051 Extracción de antracita y hulla;Total consumos energéticos;2015;..
052 Extracción de lignito;Electricidad;2022;..
052 Extracción de lignito;Electricidad;2021;..
052 Extracción de lignito;Electricidad;2019;..
052 Extracción de lignito;Electricidad;2017;..
052 Extracción de lignito;Electricidad;2015;..
052 Extracción de lignito;Gas;2022;..
052 Extracción de lignito;Gas;2021;..
052 Extracción de lignito;Gas;2019;..
052 Extracción de lignito;Gas;2017;..
052 Extracción de lignito;Gas;2015;..
052 Extracción de lignito;Gasóleo;2022;..
052 Extracción de lignito;Gasóleo;2021;..
052 Extracción de lignito;Gasóleo;2019;..
052 Extracción de lignito;Gasóleo;2017;..
052 Extracción de lignito;Gasóleo;2015;..
052 Extracción de lignito;Fueloil;2022;..
052 Extracción de lignito;Fueloil;2021;..
052 Extracción de lignito;Fueloil;2019;..
052 Extracción de lignito;Fueloil;2017;..
052 Extracción de lignito;Fueloil;2015;..
052 Extracción de lignito;Otros productos petrolíferos;2022;..
052 Extracción de lignito;Otros productos petrolíferos;2021;..
052 Extracción de lignito;Otros productos petrolíferos;2019;..
052 Extracción de lignito;Otros productos petrolíferos;2017;..
052 Extracción de lignito;Otros productos petrolíferos;2015;..
052 Extracción de lignito;Carbón y coque;2022;..
052 Extracción de lignito;Carbón y coque;2021;..
052 Extracción de lignito;Carbón y coque;2019;..
052 Extracción de lignito;Carbón y coque;2017;..
052 Extracción de lignito;Carbón y coque;2015;..
052 Extracción de lignito;Biocombustibles;2022;..
052 Extracción de lignito;Biocombustibles;2021;..
052 Extracción de lignito;Biocombustibles;2019;..
052 Extracción de lignito;Biocombustibles;2017;..
052 Extracción de lignito;Biocombustibles;2015;..
052 Extracción de lignito;Calor y otros consumos energéticos;2022;..
052 Extracción de lignito;Calor y otros consumos energéticos;2021;..
052 Extracción de lignito;Calor y otros consumos energéticos;2019;..
052 Extracción de lignito;Calor y otros consumos energéticos;2017;..
052 Extracción de lignito;Calor y otros consumos energéticos;2015;..
052 Extracción de lignito;Total consumos energéticos;2022;..
052 Extracción de lignito;Total consumos energéticos;2021;..
052 Extracción de lignito;Total consumos energéticos;2019;..
052 Extracción de lignito;Total consumos energéticos;2017;..
052 Extracción de lignito;Total consumos energéticos;2015;..
06 Extracción de crudo de petróleo y gas natural;Electricidad;2022;.
06 Extracción de crudo de petróleo y gas natural;Electricidad;2021;.
06 Extracción de crudo de petróleo y gas natural;Electricidad;2019;14.407
06 Extracción de crudo de petróleo y gas natural;Electricidad;2017;2.855
06 Extracción de crudo de petróleo y gas natural;Electricidad;2015;..
06 Extracción de crudo de petróleo y gas natural;Gas;2022;.
06 Extracción de crudo de petróleo y gas natural;Gas;2021;.
06 Extracción de crudo de petróleo y gas natural;Gas;2019;0
06 Extracción de crudo de petróleo y gas natural;Gas;2017;0
06 Extracción de crudo de petróleo y gas natural;Gas;2015;..
06 Extracción de crudo de petróleo y gas natural;Gasóleo;2022;.
06 Extracción de crudo de petróleo y gas natural;Gasóleo;2021;.
06 Extracción de crudo de petróleo y gas natural;Gasóleo;2019;0
06 Extracción de crudo de petróleo y gas natural;Gasóleo;2017;0
06 Extracción de crudo de petróleo y gas natural;Gasóleo;2015;..
06 Extracción de crudo de petróleo y gas natural;Fueloil;2022;.
06 Extracción de crudo de petróleo y gas natural;Fueloil;2021;.
06 Extracción de crudo de petróleo y gas natural;Fueloil;2019;0
06 Extracción de crudo de petróleo y gas natural;Fueloil;2017;0
06 Extracción de crudo de petróleo y gas natural;Fueloil;2015;..
06 Extracción de crudo de petróleo y gas natural;Otros productos petrolíferos;2022;.
06 Extracción de crudo de petróleo y gas natural;Otros productos petrolíferos;2021;.
