Actividad principal (CNAE-2009 a 1, 2 y 3 dígitos);Producto consumido;año;Total
105 Productos lácteos (CNAE 10.5);Biocombustibles;2022;152
105 Productos lácteos (CNAE 10.5);Biocombustibles;2021;226
105 Productos lácteos (CNAE 10.5);Biocombustibles;2019;490
105 Productos lácteos (CNAE 10.5);Biocombustibles;2017;804
105 Productos lácteos (CNAE 10.5);Biocombustibles;2015;653
105 Productos lácteos (CNAE 10.5);Calor y otros consumos energéticos;2022;3.817
105 Productos lácteos (CNAE 10.5);Calor y otros consumos energéticos;2021;5.121
105 Productos lácteos (CNAE 10.5);Calor y otros consumos energéticos;2019;3.906
105 Productos lácteos (CNAE 10.5);Calor y otros consumos energéticos;2017;1.886
105 Productos lácteos (CNAE 10.5);Calor y otros consumos energéticos;2015;6.103
105 Productos lácteos (CNAE 10.5);Total consumos energéticos;2022;459.481
105 Productos lácteos (CNAE 10.5);Total consumos energéticos;2021;226.229
105 Productos lácteos (CNAE 10.5);Total consumos energéticos;2019;198.420
105 Productos lácteos (CNAE 10.5);Total consumos energéticos;2017;183.059
105 Productos lácteos (CNAE 10.5);Total consumos energéticos;2015;207.353
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Electricidad;2022;100.400
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Electricidad;2021;65.530
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Electricidad;2019;52.481
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Electricidad;2017;50.575
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Electricidad;2015;51.202
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Gas;2022;75.574
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Gas;2021;24.474
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Gas;2019;29.087
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Gas;2017;27.706
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Gas;2015;37.044
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Gasóleo;2022;5.883
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Gasóleo;2021;4.786
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Gasóleo;2019;5.813
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Gasóleo;2017;6.026
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Gasóleo;2015;6.176
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Fueloil;2022;158
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Fueloil;2021;200
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Fueloil;2019;113
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Fueloil;2017;261
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Fueloil;2015;157
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Otros productos petrolíferos;2022;223
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Otros productos petrolíferos;2021;168
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Otros productos petrolíferos;2019;383
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Otros productos petrolíferos;2017;132
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Otros productos petrolíferos;2015;659
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Carbón y coque;2022;0
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Carbón y coque;2021;0
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Carbón y coque;2019;675
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Carbón y coque;2017;0
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Carbón y coque;2015;0
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Biocombustibles;2022;319
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Biocombustibles;2021;317
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Biocombustibles;2019;0
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Biocombustibles;2017;207
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Biocombustibles;2015;264
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Calor y otros consumos energéticos;2022;369
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Calor y otros consumos energéticos;2021;0
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Calor y otros consumos energéticos;2019;0
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Calor y otros consumos energéticos;2017;67
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Calor y otros consumos energéticos;2015;0
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Total consumos energéticos;2022;182.927
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Total consumos energéticos;2021;95.475
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Total consumos energéticos;2019;88.552
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Total consumos energéticos;2017;84.975
106 Molinerías, almidones y productos amiláceos (CNAE 10.6);Total consumos energéticos;2015;95.502
107 Panadería y pastas alimenticias (CNAE 10.7);Electricidad;2022;240.791
107 Panadería y pastas alimenticias (CNAE 10.7);Electricidad;2021;168.083
107 Panadería y pastas alimenticias (CNAE 10.7);Electricidad;2019;147.504
107 Panadería y pastas alimenticias (CNAE 10.7);Electricidad;2017;140.379
107 Panadería y pastas alimenticias (CNAE 10.7);Electricidad;2015;130.505
107 Panadería y pastas alimenticias (CNAE 10.7);Gas;2022;103.793
107 Panadería y pastas alimenticias (CNAE 10.7);Gas;2021;55.845
107 Panadería y pastas alimenticias (CNAE 10.7);Gas;2019;51.754
107 Panadería y pastas alimenticias (CNAE 10.7);Gas;2017;37.635
107 Panadería y pastas alimenticias (CNAE 10.7);Gas;2015;45.674
107 Panadería y pastas alimenticias (CNAE 10.7);Gasóleo;2022;35.029
107 Panadería y pastas alimenticias (CNAE 10.7);Gasóleo;2021;17.655
107 Panadería y pastas alimenticias (CNAE 10.7);Gasóleo;2019;22.842
107 Panadería y pastas alimenticias (CNAE 10.7);Gasóleo;2017;31.914
107 Panadería y pastas alimenticias (CNAE 10.7);Gasóleo;2015;28.939
107 Panadería y pastas alimenticias (CNAE 10.7);Fueloil;2022;0
107 Panadería y pastas alimenticias (CNAE 10.7);Fueloil;2021;219
107 Panadería y pastas alimenticias (CNAE 10.7);Fueloil;2019;119
107 Panadería y pastas alimenticias (CNAE 10.7);Fueloil;2017;225
107 Panadería y pastas alimenticias (CNAE 10.7);Fueloil;2015;2
107 Panadería y pastas alimenticias (CNAE 10.7);Otros productos petrolíferos;2022;7.163
107 Panadería y pastas alimenticias (CNAE 10.7);Otros productos petrolíferos;2021;3.697
107 Panadería y pastas alimenticias (CNAE 10.7);Otros productos petrolíferos;2019;1.666
107 Panadería y pastas alimenticias (CNAE 10.7);Otros productos petrolíferos;2017;626
107 Panadería y pastas alimenticias (CNAE 10.7);Otros productos petrolíferos;2015;1.644
107 Panadería y pastas alimenticias (CNAE 10.7);Carbón y coque;2022;0
107 Panadería y pastas alimenticias (CNAE 10.7);Carbón y coque;2021;0
107 Panadería y pastas alimenticias (CNAE 10.7);Carbón y coque;2019;12
107 Panadería y pastas alimenticias (CNAE 10.7);Carbón y coque;2017;0
107 Panadería y pastas alimenticias (CNAE 10.7);Carbón y coque;2015;0
107 Panadería y pastas alimenticias (CNAE 10.7);Biocombustibles;2022;1.233
107 Panadería y pastas alimenticias (CNAE 10.7);Biocombustibles;2021;582
107 Panadería y pastas alimenticias (CNAE 10.7);Biocombustibles;2019;226
107 Panadería y pastas alimenticias (CNAE 10.7);Biocombustibles;2017;516
107 Panadería y pastas alimenticias (CNAE 10.7);Biocombustibles;2015;300
107 Panadería y pastas alimenticias (CNAE 10.7);Calor y otros consumos energéticos;2022;0
107 Panadería y pastas alimenticias (CNAE 10.7);Calor y otros consumos energéticos;2021;344
107 Panadería y pastas alimenticias (CNAE 10.7);Calor y otros consumos energéticos;2019;928
107 Panadería y pastas alimenticias (CNAE 10.7);Calor y otros consumos energéticos;2017;503
107 Panadería y pastas alimenticias (CNAE 10.7);Calor y otros consumos energéticos;2015;1.190
107 Panadería y pastas alimenticias (CNAE 10.7);Total consumos energéticos;2022;388.009
107 Panadería y pastas alimenticias (CNAE 10.7);Total consumos energéticos;2021;246.424
107 Panadería y pastas alimenticias (CNAE 10.7);Total consumos energéticos;2019;225.051
107 Panadería y pastas alimenticias (CNAE 10.7);Total consumos energéticos;2017;211.798
107 Panadería y pastas alimenticias (CNAE 10.7);Total consumos energéticos;2015;208.255
108 Fabricación de otros productos alimenticios;Electricidad;2022;329.772
108 Fabricación de otros productos alimenticios;Electricidad;2021;178.812
108 Fabricación de otros productos alimenticios;Electricidad;2019;139.924
108 Fabricación de otros productos alimenticios;Electricidad;2017;121.818
108 Fabricación de otros productos alimenticios;Electricidad;2015;129.884
108 Fabricación de otros productos alimenticios;Gas;2022;187.645
108 Fabricación de otros productos alimenticios;Gas;2021;104.432
108 Fabricación de otros productos alimenticios;Gas;2019;109.342
108 Fabricación de otros productos alimenticios;Gas;2017;92.754
108 Fabricación de otros productos alimenticios;Gas;2015;110.198
108 Fabricación de otros productos alimenticios;Gasóleo;2022;17.441
108 Fabricación de otros productos alimenticios;Gasóleo;2021;13.505
108 Fabricación de otros productos alimenticios;Gasóleo;2019;16.250
108 Fabricación de otros productos alimenticios;Gasóleo;2017;12.495
108 Fabricación de otros productos alimenticios;Gasóleo;2015;13.709
108 Fabricación de otros productos alimenticios;Fueloil;2022;33
108 Fabricación de otros productos alimenticios;Fueloil;2021;34
108 Fabricación de otros productos alimenticios;Fueloil;2019;396
108 Fabricación de otros productos alimenticios;Fueloil;2017;862
108 Fabricación de otros productos alimenticios;Fueloil;2015;1.458
108 Fabricación de otros productos alimenticios;Otros productos petrolíferos;2022;11.024
108 Fabricación de otros productos alimenticios;Otros productos petrolíferos;2021;4.346
108 Fabricación de otros productos alimenticios;Otros productos petrolíferos;2019;2.980
108 Fabricación de otros productos alimenticios;Otros productos petrolíferos;2017;2.755
108 Fabricación de otros productos alimenticios;Otros productos petrolíferos;2015;3.208
108 Fabricación de otros productos alimenticios;Carbón y coque;2022;0
108 Fabricación de otros productos alimenticios;Carbón y coque;2021;856
108 Fabricación de otros productos alimenticios;Carbón y coque;2019;0
108 Fabricación de otros productos alimenticios;Carbón y coque;2017;0
108 Fabricación de otros productos alimenticios;Carbón y coque;2015;0
108 Fabricación de otros productos alimenticios;Biocombustibles;2022;16.299
108 Fabricación de otros productos alimenticios;Biocombustibles;2021;2.042
108 Fabricación de otros productos alimenticios;Biocombustibles;2019;2.044
108 Fabricación de otros productos alimenticios;Biocombustibles;2017;541
108 Fabricación de otros productos alimenticios;Biocombustibles;2015;36
108 Fabricación de otros productos alimenticios;Calor y otros consumos energéticos;2022;8.515
108 Fabricación de otros productos alimenticios;Calor y otros consumos energéticos;2021;2.725
108 Fabricación de otros productos alimenticios;Calor y otros consumos energéticos;2019;2.504
108 Fabricación de otros productos alimenticios;Calor y otros consumos energéticos;2017;3.409
108 Fabricación de otros productos alimenticios;Calor y otros consumos energéticos;2015;1.810
108 Fabricación de otros productos alimenticios;Total consumos energéticos;2022;570.729
108 Fabricación de otros productos alimenticios;Total consumos energéticos;2021;306.753
108 Fabricación de otros productos alimenticios;Total consumos energéticos;2019;273.439
108 Fabricación de otros productos alimenticios;Total consumos energéticos;2017;234.636
108 Fabricación de otros productos alimenticios;Total consumos energéticos;2015;260.303
109 Comida para animales (CNAE 10.9);Electricidad;2022;177.072
109 Comida para animales (CNAE 10.9);Electricidad;2021;113.533
109 Comida para animales (CNAE 10.9);Electricidad;2019;86.400
109 Comida para animales (CNAE 10.9);Electricidad;2017;78.849
109 Comida para animales (CNAE 10.9);Electricidad;2015;63.963
109 Comida para animales (CNAE 10.9);Gas;2022;128.906
109 Comida para animales (CNAE 10.9);Gas;2021;81.934
109 Comida para animales (CNAE 10.9);Gas;2019;48.173
109 Comida para animales (CNAE 10.9);Gas;2017;46.294
109 Comida para animales (CNAE 10.9);Gas;2015;37.352
109 Comida para animales (CNAE 10.9);Gasóleo;2022;28.513
109 Comida para animales (CNAE 10.9);Gasóleo;2021;27.956
109 Comida para animales (CNAE 10.9);Gasóleo;2019;21.500
109 Comida para animales (CNAE 10.9);Gasóleo;2017;19.520
109 Comida para animales (CNAE 10.9);Gasóleo;2015;21.094
109 Comida para animales (CNAE 10.9);Fueloil;2022;3.079
109 Comida para animales (CNAE 10.9);Fueloil;2021;1.145
109 Comida para animales (CNAE 10.9);Fueloil;2019;75
109 Comida para animales (CNAE 10.9);Fueloil;2017;2.236
109 Comida para animales (CNAE 10.9);Fueloil;2015;281
109 Comida para animales (CNAE 10.9);Otros productos petrolíferos;2022;2.650
109 Comida para animales (CNAE 10.9);Otros productos petrolíferos;2021;56
109 Comida para animales (CNAE 10.9);Otros productos petrolíferos;2019;818
109 Comida para animales (CNAE 10.9);Otros productos petrolíferos;2017;1.399
109 Comida para animales (CNAE 10.9);Otros productos petrolíferos;2015;256
109 Comida para animales (CNAE 10.9);Carbón y coque;2022;0
109 Comida para animales (CNAE 10.9);Carbón y coque;2021;0
109 Comida para animales (CNAE 10.9);Carbón y coque;2019;0
109 Comida para animales (CNAE 10.9);Carbón y coque;2017;11
109 Comida para animales (CNAE 10.9);Carbón y coque;2015;0
109 Comida para animales (CNAE 10.9);Biocombustibles;2022;5.414
109 Comida para animales (CNAE 10.9);Biocombustibles;2021;3.012
109 Comida para animales (CNAE 10.9);Biocombustibles;2019;4.167
109 Comida para animales (CNAE 10.9);Biocombustibles;2017;165
109 Comida para animales (CNAE 10.9);Biocombustibles;2015;1.681
109 Comida para animales (CNAE 10.9);Calor y otros consumos energéticos;2022;5.708
109 Comida para animales (CNAE 10.9);Calor y otros consumos energéticos;2021;734
109 Comida para animales (CNAE 10.9);Calor y otros consumos energéticos;2019;519
109 Comida para animales (CNAE 10.9);Calor y otros consumos energéticos;2017;81
109 Comida para animales (CNAE 10.9);Calor y otros consumos energéticos;2015;497
109 Comida para animales (CNAE 10.9);Total consumos energéticos;2022;351.342
109 Comida para animales (CNAE 10.9);Total consumos energéticos;2021;228.370
109 Comida para animales (CNAE 10.9);Total consumos energéticos;2019;161.653
109 Comida para animales (CNAE 10.9);Total consumos energéticos;2017;148.555
109 Comida para animales (CNAE 10.9);Total consumos energéticos;2015;125.125
11 Fabricación de bebidas;Electricidad;2022;282.497
11 Fabricación de bebidas;Electricidad;2021;149.299
11 Fabricación de bebidas;Electricidad;2019;133.368
11 Fabricación de bebidas;Electricidad;2017;129.331
11 Fabricación de bebidas;Electricidad;2015;134.359
11 Fabricación de bebidas;Gas;2022;110.464
11 Fabricación de bebidas;Gas;2021;52.462
11 Fabricación de bebidas;Gas;2019;57.609
11 Fabricación de bebidas;Gas;2017;52.084
11 Fabricación de bebidas;Gas;2015;43.824
11 Fabricación de bebidas;Gasóleo;2022;29.319
11 Fabricación de bebidas;Gasóleo;2021;17.070
11 Fabricación de bebidas;Gasóleo;2019;28.180
11 Fabricación de bebidas;Gasóleo;2017;15.076
11 Fabricación de bebidas;Gasóleo;2015;15.431
11 Fabricación de bebidas;Fueloil;2022;700
11 Fabricación de bebidas;Fueloil;2021;2.711
11 Fabricación de bebidas;Fueloil;2019;25.025
11 Fabricación de bebidas;Fueloil;2017;20.149
11 Fabricación de bebidas;Fueloil;2015;10.441
11 Fabricación de bebidas;Otros productos petrolíferos;2022;2.215
11 Fabricación de bebidas;Otros productos petrolíferos;2021;3.992
11 Fabricación de bebidas;Otros productos petrolíferos;2019;2.911
11 Fabricación de bebidas;Otros productos petrolíferos;2017;3.148
11 Fabricación de bebidas;Otros productos petrolíferos;2015;1.819
11 Fabricación de bebidas;Carbón y coque;2022;234
11 Fabricación de bebidas;Carbón y coque;2021;125
11 Fabricación de bebidas;Carbón y coque;2019;0
11 Fabricación de bebidas;Carbón y coque;2017;0
11 Fabricación de bebidas;Carbón y coque;2015;2.373
11 Fabricación de bebidas;Biocombustibles;2022;3.418
11 Fabricación de bebidas;Biocombustibles;2021;1.394
11 Fabricación de bebidas;Biocombustibles;2019;2.203
11 Fabricación de bebidas;Biocombustibles;2017;482
11 Fabricación de bebidas;Biocombustibles;2015;355
11 Fabricación de bebidas;Calor y otros consumos energéticos;2022;13.501
11 Fabricación de bebidas;Calor y otros consumos energéticos;2021;5.064
11 Fabricación de bebidas;Calor y otros consumos energéticos;2019;25
11 Fabricación de bebidas;Calor y otros consumos energéticos;2017;983
11 Fabricación de bebidas;Calor y otros consumos energéticos;2015;768
11 Fabricación de bebidas;Total consumos energéticos;2022;442.349
11 Fabricación de bebidas;Total consumos energéticos;2021;232.116
11 Fabricación de bebidas;Total consumos energéticos;2019;249.320
11 Fabricación de bebidas;Total consumos energéticos;2017;221.253
11 Fabricación de bebidas;Total consumos energéticos;2015;209.370
110 Fabricación de bebidas;Electricidad;2022;282.497
110 Fabricación de bebidas;Electricidad;2021;149.299
110 Fabricación de bebidas;Electricidad;2019;133.368
110 Fabricación de bebidas;Electricidad;2017;129.331
110 Fabricación de bebidas;Electricidad;2015;134.359
110 Fabricación de bebidas;Gas;2022;110.464
110 Fabricación de bebidas;Gas;2021;52.462
110 Fabricación de bebidas;Gas;2019;57.609
110 Fabricación de bebidas;Gas;2017;52.084
110 Fabricación de bebidas;Gas;2015;43.824
110 Fabricación de bebidas;Gasóleo;2022;29.319
110 Fabricación de bebidas;Gasóleo;2021;17.070
110 Fabricación de bebidas;Gasóleo;2019;28.180
110 Fabricación de bebidas;Gasóleo;2017;15.076
110 Fabricación de bebidas;Gasóleo;2015;15.431
110 Fabricación de bebidas;Fueloil;2022;700
110 Fabricación de bebidas;Fueloil;2021;2.711
110 Fabricación de bebidas;Fueloil;2019;25.025
110 Fabricación de bebidas;Fueloil;2017;20.149
110 Fabricación de bebidas;Fueloil;2015;10.441
110 Fabricación de bebidas;Otros productos petrolíferos;2022;2.215
110 Fabricación de bebidas;Otros productos petrolíferos;2021;3.992
110 Fabricación de bebidas;Otros productos petrolíferos;2019;2.911
110 Fabricación de bebidas;Otros productos petrolíferos;2017;3.148
110 Fabricación de bebidas;Otros productos petrolíferos;2015;1.819
110 Fabricación de bebidas;Carbón y coque;2022;234
110 Fabricación de bebidas;Carbón y coque;2021;125
110 Fabricación de bebidas;Carbón y coque;2019;0
110 Fabricación de bebidas;Carbón y coque;2017;0
110 Fabricación de bebidas;Carbón y coque;2015;2.373
110 Fabricación de bebidas;Biocombustibles;2022;3.418
110 Fabricación de bebidas;Biocombustibles;2021;1.394
110 Fabricación de bebidas;Biocombustibles;2019;2.203
110 Fabricación de bebidas;Biocombustibles;2017;482
110 Fabricación de bebidas;Biocombustibles;2015;355
110 Fabricación de bebidas;Calor y otros consumos energéticos;2022;13.501
110 Fabricación de bebidas;Calor y otros consumos energéticos;2021;5.064
110 Fabricación de bebidas;Calor y otros consumos energéticos;2019;25
110 Fabricación de bebidas;Calor y otros consumos energéticos;2017;983
110 Fabricación de bebidas;Calor y otros consumos energéticos;2015;768
110 Fabricación de bebidas;Total consumos energéticos;2022;442.349
110 Fabricación de bebidas;Total consumos energéticos;2021;232.116
110 Fabricación de bebidas;Total consumos energéticos;2019;249.320
110 Fabricación de bebidas;Total consumos energéticos;2017;221.253
110 Fabricación de bebidas;Total consumos energéticos;2015;209.370
12 Industria del tabaco (CNAE 12);Electricidad;2022;4.366
12 Industria del tabaco (CNAE 12);Electricidad;2021;2.605
12 Industria del tabaco (CNAE 12);Electricidad;2019;2.672
12 Industria del tabaco (CNAE 12);Electricidad;2017;2.753
12 Industria del tabaco (CNAE 12);Electricidad;2015;4.298
12 Industria del tabaco (CNAE 12);Gas;2022;143
12 Industria del tabaco (CNAE 12);Gas;2021;47
12 Industria del tabaco (CNAE 12);Gas;2019;0
12 Industria del tabaco (CNAE 12);Gas;2017;213
12 Industria del tabaco (CNAE 12);Gas;2015;793
12 Industria del tabaco (CNAE 12);Gasóleo;2022;203
12 Industria del tabaco (CNAE 12);Gasóleo;2021;97
12 Industria del tabaco (CNAE 12);Gasóleo;2019;191
12 Industria del tabaco (CNAE 12);Gasóleo;2017;84
12 Industria del tabaco (CNAE 12);Gasóleo;2015;775
12 Industria del tabaco (CNAE 12);Fueloil;2022;588
12 Industria del tabaco (CNAE 12);Fueloil;2021;489
12 Industria del tabaco (CNAE 12);Fueloil;2019;400
12 Industria del tabaco (CNAE 12);Fueloil;2017;408
12 Industria del tabaco (CNAE 12);Fueloil;2015;510
12 Industria del tabaco (CNAE 12);Otros productos petrolíferos;2022;83
12 Industria del tabaco (CNAE 12);Otros productos petrolíferos;2021;132
12 Industria del tabaco (CNAE 12);Otros productos petrolíferos;2019;330
12 Industria del tabaco (CNAE 12);Otros productos petrolíferos;2017;145
12 Industria del tabaco (CNAE 12);Otros productos petrolíferos;2015;350
12 Industria del tabaco (CNAE 12);Carbón y coque;2022;0
12 Industria del tabaco (CNAE 12);Carbón y coque;2021;0
12 Industria del tabaco (CNAE 12);Carbón y coque;2019;0
12 Industria del tabaco (CNAE 12);Carbón y coque;2017;0
12 Industria del tabaco (CNAE 12);Carbón y coque;2015;0
12 Industria del tabaco (CNAE 12);Biocombustibles;2022;0
12 Industria del tabaco (CNAE 12);Biocombustibles;2021;0
12 Industria del tabaco (CNAE 12);Biocombustibles;2019;0
12 Industria del tabaco (CNAE 12);Biocombustibles;2017;0
12 Industria del tabaco (CNAE 12);Biocombustibles;2015;0
12 Industria del tabaco (CNAE 12);Calor y otros consumos energéticos;2022;0
12 Industria del tabaco (CNAE 12);Calor y otros consumos energéticos;2021;0
12 Industria del tabaco (CNAE 12);Calor y otros consumos energéticos;2019;0
12 Industria del tabaco (CNAE 12);Calor y otros consumos energéticos;2017;0
12 Industria del tabaco (CNAE 12);Calor y otros consumos energéticos;2015;0
12 Industria del tabaco (CNAE 12);Total consumos energéticos;2022;5.384
12 Industria del tabaco (CNAE 12);Total consumos energéticos;2021;3.370
12 Industria del tabaco (CNAE 12);Total consumos energéticos;2019;3.594
12 Industria del tabaco (CNAE 12);Total consumos energéticos;2017;3.603
12 Industria del tabaco (CNAE 12);Total consumos energéticos;2015;6.725
120 Industria del tabaco;Electricidad;2022;4.366
120 Industria del tabaco;Electricidad;2021;2.605
120 Industria del tabaco;Electricidad;2019;2.672
120 Industria del tabaco;Electricidad;2017;2.753
120 Industria del tabaco;Electricidad;2015;4.298
120 Industria del tabaco;Gas;2022;143
120 Industria del tabaco;Gas;2021;47
120 Industria del tabaco;Gas;2019;0
120 Industria del tabaco;Gas;2017;213
120 Industria del tabaco;Gas;2015;793
120 Industria del tabaco;Gasóleo;2022;203
120 Industria del tabaco;Gasóleo;2021;97
120 Industria del tabaco;Gasóleo;2019;191
120 Industria del tabaco;Gasóleo;2017;84
120 Industria del tabaco;Gasóleo;2015;775
120 Industria del tabaco;Fueloil;2022;588
120 Industria del tabaco;Fueloil;2021;489
120 Industria del tabaco;Fueloil;2019;400
120 Industria del tabaco;Fueloil;2017;408
120 Industria del tabaco;Fueloil;2015;510
120 Industria del tabaco;Otros productos petrolíferos;2022;83
120 Industria del tabaco;Otros productos petrolíferos;2021;132
120 Industria del tabaco;Otros productos petrolíferos;2019;330
120 Industria del tabaco;Otros productos petrolíferos;2017;145
120 Industria del tabaco;Otros productos petrolíferos;2015;350
120 Industria del tabaco;Carbón y coque;2022;0
120 Industria del tabaco;Carbón y coque;2021;0
120 Industria del tabaco;Carbón y coque;2019;0
120 Industria del tabaco;Carbón y coque;2017;0
120 Industria del tabaco;Carbón y coque;2015;0
120 Industria del tabaco;Biocombustibles;2022;0
120 Industria del tabaco;Biocombustibles;2021;0
120 Industria del tabaco;Biocombustibles;2019;0
120 Industria del tabaco;Biocombustibles;2017;0
120 Industria del tabaco;Biocombustibles;2015;0
120 Industria del tabaco;Calor y otros consumos energéticos;2022;0
120 Industria del tabaco;Calor y otros consumos energéticos;2021;0
120 Industria del tabaco;Calor y otros consumos energéticos;2019;0
120 Industria del tabaco;Calor y otros consumos energéticos;2017;0
120 Industria del tabaco;Calor y otros consumos energéticos;2015;0
120 Industria del tabaco;Total consumos energéticos;2022;5.384
120 Industria del tabaco;Total consumos energéticos;2021;3.370
120 Industria del tabaco;Total consumos energéticos;2019;3.594
120 Industria del tabaco;Total consumos energéticos;2017;3.603
120 Industria del tabaco;Total consumos energéticos;2015;6.725
13 Industria textil;Electricidad;2022;200.925
13 Industria textil;Electricidad;2021;126.549
13 Industria textil;Electricidad;2019;101.661
13 Industria textil;Electricidad;2017;95.124
13 Industria textil;Electricidad;2015;94.916
13 Industria textil;Gas;2022;94.088
13 Industria textil;Gas;2021;56.424
13 Industria textil;Gas;2019;52.398
13 Industria textil;Gas;2017;41.427
13 Industria textil;Gas;2015;61.952
13 Industria textil;Gasóleo;2022;6.291
13 Industria textil;Gasóleo;2021;4.533
13 Industria textil;Gasóleo;2019;5.556
13 Industria textil;Gasóleo;2017;7.802
13 Industria textil;Gasóleo;2015;4.244
13 Industria textil;Fueloil;2022;31
13 Industria textil;Fueloil;2021;147
13 Industria textil;Fueloil;2019;48
13 Industria textil;Fueloil;2017;449
13 Industria textil;Fueloil;2015;485
13 Industria textil;Otros productos petrolíferos;2022;1.049
13 Industria textil;Otros productos petrolíferos;2021;1.255
13 Industria textil;Otros productos petrolíferos;2019;529
13 Industria textil;Otros productos petrolíferos;2017;582
13 Industria textil;Otros productos petrolíferos;2015;549
13 Industria textil;Carbón y coque;2022;267
13 Industria textil;Carbón y coque;2021;0
13 Industria textil;Carbón y coque;2019;0
13 Industria textil;Carbón y coque;2017;0
13 Industria textil;Carbón y coque;2015;0
13 Industria textil;Biocombustibles;2022;2.577
13 Industria textil;Biocombustibles;2021;295
13 Industria textil;Biocombustibles;2019;282
13 Industria textil;Biocombustibles;2017;136
13 Industria textil;Biocombustibles;2015;326
13 Industria textil;Calor y otros consumos energéticos;2022;45
13 Industria textil;Calor y otros consumos energéticos;2021;176
13 Industria textil;Calor y otros consumos energéticos;2019;149
13 Industria textil;Calor y otros consumos energéticos;2017;93
13 Industria textil;Calor y otros consumos energéticos;2015;195
13 Industria textil;Total consumos energéticos;2022;305.273
13 Industria textil;Total consumos energéticos;2021;189.380
13 Industria textil;Total consumos energéticos;2019;160.623
13 Industria textil;Total consumos energéticos;2017;145.613
13 Industria textil;Total consumos energéticos;2015;162.667
131 Preparación e hilado de fibras textiles (CNAE 13.1);Electricidad;2022;55.818
131 Preparación e hilado de fibras textiles (CNAE 13.1);Electricidad;2021;38.542
131 Preparación e hilado de fibras textiles (CNAE 13.1);Electricidad;2019;27.071
131 Preparación e hilado de fibras textiles (CNAE 13.1);Electricidad;2017;25.228
131 Preparación e hilado de fibras textiles (CNAE 13.1);Electricidad;2015;26.777
131 Preparación e hilado de fibras textiles (CNAE 13.1);Gas;2022;3.146
131 Preparación e hilado de fibras textiles (CNAE 13.1);Gas;2021;1.271
131 Preparación e hilado de fibras textiles (CNAE 13.1);Gas;2019;1.574
131 Preparación e hilado de fibras textiles (CNAE 13.1);Gas;2017;2.855
131 Preparación e hilado de fibras textiles (CNAE 13.1);Gas;2015;3.494
131 Preparación e hilado de fibras textiles (CNAE 13.1);Gasóleo;2022;2.017
131 Preparación e hilado de fibras textiles (CNAE 13.1);Gasóleo;2021;511
131 Preparación e hilado de fibras textiles (CNAE 13.1);Gasóleo;2019;508
131 Preparación e hilado de fibras textiles (CNAE 13.1);Gasóleo;2017;1.602
131 Preparación e hilado de fibras textiles (CNAE 13.1);Gasóleo;2015;756
131 Preparación e hilado de fibras textiles (CNAE 13.1);Fueloil;2022;24
131 Preparación e hilado de fibras textiles (CNAE 13.1);Fueloil;2021;35
