dataDate;community;province;selfConsumption;sumPower_kW;sumPouredEnergy_kWh;sumContracts
2023-12-01;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;982;212;1086;
2023-12-01;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;211;2089;
2023-12-01;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13901;1794;2385;
2023-12-01;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-12-02;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;404;1086;
2023-12-02;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;457;2089;
2023-12-02;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13901;3509;2385;
2023-12-02;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-12-03;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;231;1086;
2023-12-03;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;267;2089;
2023-12-03;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13905;2962;2386;
2023-12-03;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-12-04;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;195;1086;
2023-12-04;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;286;2089;
2023-12-04;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13905;2496;2386;
2023-12-04;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-12-05;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;288;1086;
2023-12-05;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;258;2089;
2023-12-05;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13905;1968;2386;
2023-12-05;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-12-06;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;341;1086;
2023-12-06;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;313;2089;
2023-12-06;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13905;3349;2386;
2023-12-06;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-12-07;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;70;1086;
2023-12-07;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;68;2089;
2023-12-07;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13905;327;2386;
2023-12-07;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-12-08;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;142;1086;
2023-12-08;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;154;2089;
2023-12-08;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13913;1235;2387;
2023-12-08;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-12-09;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;244;1086;
2023-12-09;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;296;2089;
2023-12-09;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13913;2806;2387;
2023-12-09;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-12-10;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;225;1086;
2023-12-10;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;234;2089;
2023-12-10;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13913;2735;2387;
2023-12-10;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-12-11;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;167;1086;
2023-12-11;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;160;2089;
2023-12-11;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13913;1270;2387;
2023-12-11;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-12-12;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;104;1086;
2023-12-12;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;53;2089;
2023-12-12;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13913;279;2387;
2023-12-12;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-12-13;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;221;1086;
2023-12-13;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;190;2089;
2023-12-13;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13913;2002;2387;
2023-12-13;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-12-14;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;295;1086;
2023-12-14;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;287;2089;
2023-12-14;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13913;3099;2387;
2023-12-14;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-12-15;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;606;1089;
2023-12-15;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1702;680;2162;
2023-12-15;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;14249;5416;2427;
2023-12-15;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-12-16;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;833;1089;
2023-12-16;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1702;971;2162;
2023-12-16;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;14249;11356;2427;
2023-12-16;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-12-17;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;914;1089;
2023-12-17;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1702;1046;2162;
