dataDate;community;province;selfConsumption;sumPower_kW;sumPouredEnergy_kWh;sumContracts
2023-07-01;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;653;1266;631;
2023-07-01;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1006;2048;879;
2023-07-01;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;9634;24926;1767;
2023-07-01;Asturias, Principado de;Asturias;Sin Excedentes Individual;3977;0;17;
2023-07-02;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;653;707;631;
2023-07-02;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1006;1191;879;
2023-07-02;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;9634;13840;1767;
2023-07-02;Asturias, Principado de;Asturias;Sin Excedentes Individual;3977;0;17;
2023-07-03;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;653;686;631;
2023-07-03;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1006;822;879;
2023-07-03;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;9634;15824;1767;
2023-07-03;Asturias, Principado de;Asturias;Sin Excedentes Individual;3977;0;17;
2023-07-04;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;653;1231;631;
2023-07-04;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1006;1911;879;
2023-07-04;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;9634;27838;1767;
2023-07-04;Asturias, Principado de;Asturias;Sin Excedentes Individual;3977;0;17;
2023-07-05;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;653;458;631;
2023-07-05;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1006;680;879;
2023-07-05;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;9634;13339;1767;
2023-07-05;Asturias, Principado de;Asturias;Sin Excedentes Individual;3977;0;17;
2023-07-06;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;653;379;631;
2023-07-06;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1006;497;879;
2023-07-06;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;9634;15340;1767;
2023-07-06;Asturias, Principado de;Asturias;Sin Excedentes Individual;3977;0;17;
2023-07-07;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;653;1168;631;
2023-07-07;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1006;1818;879;
2023-07-07;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;9638;27077;1768;
2023-07-07;Asturias, Principado de;Asturias;Sin Excedentes Individual;3977;0;17;
2023-07-08;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;653;423;631;
2023-07-08;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1006;676;879;
2023-07-08;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;9642;8955;1769;
2023-07-08;Asturias, Principado de;Asturias;Sin Excedentes Individual;3977;0;17;
2023-07-09;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;653;647;631;
