dataDate;community;province;selfConsumption;sumPower_kW;sumPouredEnergy_kWh;sumContracts
2024-03-01;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1243;516;1569;
2024-03-01;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1813;474;2618;
2024-03-01;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;16775;4015;2763;
2024-03-01;Asturias, Principado de;Asturias;Sin Excedentes Individual;4058;0;22;
2024-03-02;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1243;438;1569;
2024-03-02;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1813;406;2618;
2024-03-02;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;16787;2962;2765;
2024-03-02;Asturias, Principado de;Asturias;Sin Excedentes Individual;4058;0;22;
2024-03-03;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1243;849;1569;
2024-03-03;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1813;862;2618;
2024-03-03;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;16787;7408;2765;
2024-03-03;Asturias, Principado de;Asturias;Sin Excedentes Individual;4058;0;22;
2024-03-04;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1243;1560;1569;
2024-03-04;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1813;1800;2618;
2024-03-04;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;16787;15719;2765;
2024-03-04;Asturias, Principado de;Asturias;Sin Excedentes Individual;4058;0;22;
2024-03-05;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1243;2452;1569;
2024-03-05;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1813;2952;2618;
2024-03-05;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;16820;27872;2772;
2024-03-05;Asturias, Principado de;Asturias;Sin Excedentes Individual;4058;0;22;
2024-03-06;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1243;2357;1569;
2024-03-06;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1813;2866;2618;
2024-03-06;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;16820;31381;2772;
2024-03-06;Asturias, Principado de;Asturias;Sin Excedentes Individual;4058;0;22;
2024-03-07;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1243;1358;1569;
2024-03-07;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1813;1507;2618;
2024-03-07;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;16829;9461;2773;
2024-03-07;Asturias, Principado de;Asturias;Sin Excedentes Individual;4058;0;22;
2024-03-08;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1243;746;1569;
2024-03-08;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1813;752;2618;
2024-03-08;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;16829;6305;2773;
2024-03-08;Asturias, Principado de;Asturias;Sin Excedentes Individual;4058;0;22;
2024-03-09;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1243;1603;1569;
2024-03-09;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1813;1792;2618;
2024-03-09;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;16856;15759;2777;
2024-03-09;Asturias, Principado de;Asturias;Sin Excedentes Individual;4058;0;22;
2024-03-10;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1243;1136;1569;
2024-03-10;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1813;1196;2618;
2024-03-10;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;16856;9491;2777;
2024-03-10;Asturias, Principado de;Asturias;Sin Excedentes Individual;4058;0;22;
2024-03-11;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1243;1485;1569;
2024-03-11;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1813;1529;2618;
2024-03-11;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;16856;13144;2777;
2024-03-11;Asturias, Principado de;Asturias;Sin Excedentes Individual;4058;0;22;
2024-03-12;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1243;2508;1569;
2024-03-12;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1813;3106;2618;
2024-03-12;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;16856;34342;2777;
2024-03-12;Asturias, Principado de;Asturias;Sin Excedentes Individual;4058;0;22;
2024-03-13;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1243;2628;1569;
2024-03-13;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1813;3237;2618;
2024-03-13;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;16856;36951;2777;
2024-03-13;Asturias, Principado de;Asturias;Sin Excedentes Individual;4058;0;22;
2024-03-14;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1243;2172;1569;
2024-03-14;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1813;2530;2618;
2024-03-14;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;16856;28651;2777;
2024-03-14;Asturias, Principado de;Asturias;Sin Excedentes Individual;4058;0;22;
2024-03-15;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1290;2006;1683;
2024-03-15;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1813;2231;2648;
2024-03-15;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;17097;28541;2829;
2024-03-15;Asturias, Principado de;Asturias;Sin Excedentes Individual;4138;0;23;
2024-03-16;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1290;1765;1683;
2024-03-16;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1813;1877;2648;
2024-03-16;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;17101;22202;2830;
2024-03-16;Asturias, Principado de;Asturias;Sin Excedentes Individual;4138;0;23;
2024-03-17;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1290;1336;1683;
2024-03-17;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1813;1405;2648;
2024-03-17;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;17101;19544;2830;
2024-03-17;Asturias, Principado de;Asturias;Sin Excedentes Individual;4138;0;23;
2024-03-18;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1290;2096;1683;
2024-03-18;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1813;2310;2648;
2024-03-18;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;17101;18256;2830;
2024-03-18;Asturias, Principado de;Asturias;Sin Excedentes Individual;4138;0;23;
2024-03-19;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1290;275;1683;
2024-03-19;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1813;158;2648;
2024-03-19;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;17101;1908;2830;
2024-03-19;Asturias, Principado de;Asturias;Sin Excedentes Individual;4138;0;23;
2024-03-20;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1290;1744;1683;
2024-03-20;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1813;1884;2648;
