dataDate;community;province;selfConsumption;sumPower_kW;sumPouredEnergy_kWh;sumContracts
2024-06-01;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1654;4744;2263;
2024-06-01;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1930;3965;3205;
2024-06-01;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;18999;58112;3103;
2024-06-01;Asturias, Principado de;Asturias;Sin Excedentes Individual;5436;0;34;
2024-06-02;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1654;3242;2263;
2024-06-02;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1930;2574;3205;
2024-06-02;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;18999;38517;3103;
2024-06-02;Asturias, Principado de;Asturias;Sin Excedentes Individual;5436;0;34;
2024-06-03;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1654;2201;2263;
2024-06-03;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1930;1674;3205;
2024-06-03;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;18999;31079;3103;
2024-06-03;Asturias, Principado de;Asturias;Sin Excedentes Individual;5436;0;34;
2024-06-04;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1654;4001;2263;
2024-06-04;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1930;3380;3205;
2024-06-04;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;18999;51761;3103;
2024-06-04;Asturias, Principado de;Asturias;Sin Excedentes Individual;5436;0;34;
2024-06-05;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1654;4057;2263;
2024-06-05;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1930;3472;3205;
2024-06-05;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;19004;38839;3104;
2024-06-05;Asturias, Principado de;Asturias;Sin Excedentes Individual;5436;0;34;
2024-06-06;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1664;341;2263;
