dataDate;community;province;selfConsumption;sumPower_kW;sumPouredEnergy_kWh;sumContracts
2024-06-06;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2030;301;3205;
2024-06-06;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;19009;3100;3105;
2024-06-06;Asturias, Principado de;Asturias;Sin Excedentes Individual;5436;0;34;
2024-06-07;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1664;541;2263;
2024-06-07;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2030;314;3205;
2024-06-07;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;19017;5882;3106;
2024-06-07;Asturias, Principado de;Asturias;Sin Excedentes Individual;5436;0;34;
2024-06-08;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1664;302;2263;
2024-06-08;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2030;243;3205;
2024-06-08;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;19017;2438;3106;
2024-06-08;Asturias, Principado de;Asturias;Sin Excedentes Individual;5436;0;34;
2024-06-09;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1664;708;2263;
2024-06-09;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2030;468;3205;
2024-06-09;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;19017;10704;3106;
2024-06-09;Asturias, Principado de;Asturias;Sin Excedentes Individual;5436;0;34;
2024-06-10;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1664;3571;2263;
2024-06-10;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2030;3138;3205;
2024-06-10;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;19017;41115;3106;
2024-06-10;Asturias, Principado de;Asturias;Sin Excedentes Individual;5436;0;34;
2024-06-11;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1664;1378;2263;
2024-06-11;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2030;1098;3205;
2024-06-11;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;19023;14724;3106;
2024-06-11;Asturias, Principado de;Asturias;Sin Excedentes Individual;5436;0;34;
2024-06-12;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1664;3128;2263;
2024-06-12;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2030;2695;3205;
2024-06-12;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;19023;46078;3107;
2024-06-12;Asturias, Principado de;Asturias;Sin Excedentes Individual;5436;0;34;
2024-06-13;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1680;2295;2263;
2024-06-13;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2047;1941;3205;
2024-06-13;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;19023;25192;3107;
2024-06-13;Asturias, Principado de;Asturias;Sin Excedentes Individual;5436;0;34;
2024-06-14;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1680;402;2263;
2024-06-14;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2047;290;3205;
2024-06-14;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;19038;8338;3109;
2024-06-14;Asturias, Principado de;Asturias;Sin Excedentes Individual;5436;0;34;
2024-06-15;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1680;4900;2330;
2024-06-15;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2047;4110;3243;
2024-06-15;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;19654;56692;3151;
2024-06-15;Asturias, Principado de;Asturias;Sin Excedentes Individual;5436;0;34;
2024-06-16;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1680;3074;2330;
2024-06-16;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2047;2526;3243;
2024-06-16;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;19654;32927;3151;
2024-06-16;Asturias, Principado de;Asturias;Sin Excedentes Individual;5436;0;34;
2024-06-17;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1690;2524;2330;
2024-06-17;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2089;1995;3243;
2024-06-17;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;19654;34569;3151;
2024-06-17;Asturias, Principado de;Asturias;Sin Excedentes Individual;5436;0;34;
2024-06-18;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1690;1527;2330;
2024-06-18;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2089;1220;3243;
2024-06-18;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;19654;15557;3151;
2024-06-18;Asturias, Principado de;Asturias;Sin Excedentes Individual;5436;0;34;
2024-06-19;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1690;1274;2330;
2024-06-19;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2089;913;3243;
2024-06-19;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;19654;13637;3151;
2024-06-19;Asturias, Principado de;Asturias;Sin Excedentes Individual;5436;0;34;
2024-06-20;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1690;991;2330;
2024-06-20;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2089;747;3243;
2024-06-20;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;19654;7561;3151;
2024-06-20;Asturias, Principado de;Asturias;Sin Excedentes Individual;5436;0;34;
2024-06-21;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1690;2848;2330;
2024-06-21;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2089;2550;3243;
2024-06-21;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;19654;23861;3151;
2024-06-21;Asturias, Principado de;Asturias;Sin Excedentes Individual;5436;0;34;
2024-06-22;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1690;1953;2330;
2024-06-22;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2089;1386;3243;
2024-06-22;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;19654;25107;3151;
2024-06-22;Asturias, Principado de;Asturias;Sin Excedentes Individual;5436;0;34;
2024-06-23;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1690;2214;2330;
2024-06-23;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2089;1837;3243;
2024-06-23;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;19654;22678;3151;
2024-06-23;Asturias, Principado de;Asturias;Sin Excedentes Individual;5436;0;34;
2024-06-24;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1783;1864;2330;
2024-06-24;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2114;1386;3243;
2024-06-24;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;19654;29370;3151;
2024-06-24;Asturias, Principado de;Asturias;Sin Excedentes Individual;5436;0;34;
2024-06-25;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1783;2859;2330;
2024-06-25;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2114;2427;3243;
2024-06-25;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;19654;36824;3151;
2024-06-25;Asturias, Principado de;Asturias;Sin Excedentes Individual;5436;0;34;
2024-06-26;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1783;4000;2330;
2024-06-26;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2114;3381;3243;
2024-06-26;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;19654;41003;3151;
2024-06-26;Asturias, Principado de;Asturias;Sin Excedentes Individual;5436;0;34;
2024-06-27;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1783;593;2330;
2024-06-27;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2114;438;3243;
2024-06-27;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;19654;6084;3151;
2024-06-27;Asturias, Principado de;Asturias;Sin Excedentes Individual;5436;0;34;
2024-06-28;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1783;601;2330;
2024-06-28;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2114;371;3243;
2024-06-28;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;19662;5253;3153;
2024-06-28;Asturias, Principado de;Asturias;Sin Excedentes Individual;5436;0;34;
2024-06-29;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1783;607;2330;
2024-06-29;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2114;490;3243;
2024-06-29;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;19662;7205;3153;
2024-06-29;Asturias, Principado de;Asturias;Sin Excedentes Individual;5436;0;34;
2024-06-30;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1783;3322;2330;
2024-06-30;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2114;2754;3243;
2024-06-30;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;19662;45048;3153;
2024-06-30;Asturias, Principado de;Asturias;Sin Excedentes Individual;5436;0;34;
