dataDate;community;province;selfConsumption;sumPower_kW;sumPouredEnergy_kWh;sumContracts
2024-01-01;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1003;548;1097;
2024-01-01;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1739;831;2237;
2024-01-01;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;15248;6839;2584;
2024-01-01;Asturias, Principado de;Asturias;Sin Excedentes Individual;4676;0;20;
2024-01-02;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1003;118;1097;
2024-01-02;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1739;157;2237;
2024-01-02;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;15248;867;2584;
2024-01-02;Asturias, Principado de;Asturias;Sin Excedentes Individual;4676;0;20;
2024-01-03;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1003;192;1097;
2024-01-03;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1739;298;2237;
2024-01-03;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;15248;1605;2584;
2024-01-03;Asturias, Principado de;Asturias;Sin Excedentes Individual;4676;0;20;
2024-01-04;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1003;90;1097;
2024-01-04;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1739;153;2237;
2024-01-04;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;15248;653;2584;
2024-01-04;Asturias, Principado de;Asturias;Sin Excedentes Individual;4676;0;20;
2024-01-05;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1003;125;1097;
2024-01-05;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1739;209;2237;
2024-01-05;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;15248;1603;2584;
2024-01-05;Asturias, Principado de;Asturias;Sin Excedentes Individual;4676;0;20;
2024-01-06;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1003;310;1097;
2024-01-06;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1739;516;2237;
2024-01-06;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;15248;3682;2584;
2024-01-06;Asturias, Principado de;Asturias;Sin Excedentes Individual;4676;0;20;
2024-01-07;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1003;596;1097;
