dataDate;community;province;selfConsumption;sumPower_kW;sumPouredEnergy_kWh;sumContracts
2023-11-17;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13633;12528;2321;
2023-11-17;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-18;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;857;1010;
2023-11-18;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;1181;2048;
2023-11-18;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13633;13813;2321;
2023-11-18;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-19;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;1008;1010;
2023-11-19;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;1396;2048;
2023-11-19;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13637;14394;2322;
2023-11-19;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-20;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;112;1010;
2023-11-20;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;185;2048;
2023-11-20;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13637;432;2322;
2023-11-20;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-21;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;196;1010;
2023-11-21;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;285;2048;
2023-11-21;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13652;1997;2323;
2023-11-21;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-22;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;268;1010;
2023-11-22;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;392;2048;
2023-11-22;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13655;2352;2324;
2023-11-22;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-23;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;859;1010;
2023-11-23;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;1054;2048;
2023-11-23;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13667;10807;2326;
2023-11-23;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-24;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;489;1010;
2023-11-24;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;649;2048;
2023-11-24;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13667;4063;2326;
2023-11-24;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-25;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;811;1010;
2023-11-25;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;998;2048;
2023-11-25;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13667;10515;2326;
2023-11-25;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-26;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;683;1010;
2023-11-26;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;892;2048;
2023-11-26;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13667;7793;2326;
2023-11-26;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-27;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;86;1010;
2023-11-27;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;199;2048;
2023-11-27;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13667;247;2326;
2023-11-27;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-28;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;98;1010;
2023-11-28;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;208;2048;
2023-11-28;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13671;453;2327;
2023-11-28;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-29;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;161;1010;
2023-11-29;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;255;2048;
2023-11-29;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13676;859;2328;
2023-11-29;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-30;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;96;1010;
2023-11-30;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;202;2048;
2023-11-30;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13681;273;2329;
2023-11-30;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
