dataDate;community;province;selfConsumption;sumPower_kW;sumPouredEnergy_kWh;sumContracts
2024-07-01;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;2126;4882;2423;
2024-07-01;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2310;4396;3351;
2024-07-01;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;20084;46510;3203;
2024-07-01;Asturias, Principado de;Asturias;Sin Excedentes Individual;5687;0;36;
2024-07-02;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;2126;3201;2423;
2024-07-02;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2310;2840;3351;
2024-07-02;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;20093;30507;3204;
2024-07-02;Asturias, Principado de;Asturias;Sin Excedentes Individual;5687;0;36;
2024-07-03;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;2126;3668;2423;
2024-07-03;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2310;3294;3351;
2024-07-03;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;20093;40872;3204;
2024-07-03;Asturias, Principado de;Asturias;Sin Excedentes Individual;5687;0;36;
2024-07-04;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;2126;3372;2423;
2024-07-04;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2310;2902;3351;
2024-07-04;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;20093;22319;3204;
2024-07-04;Asturias, Principado de;Asturias;Sin Excedentes Individual;5687;0;36;
2024-07-05;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;2126;702;2423;
2024-07-05;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2310;449;3351;
2024-07-05;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;20099;7920;3205;
2024-07-05;Asturias, Principado de;Asturias;Sin Excedentes Individual;5687;0;36;
2024-07-06;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;2126;992;2423;
2024-07-06;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2310;774;3351;
2024-07-06;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;20099;9599;3205;
2024-07-06;Asturias, Principado de;Asturias;Sin Excedentes Individual;5687;0;36;
2024-07-07;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;2126;4763;2423;
2024-07-07;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2310;4083;3351;
2024-07-07;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;20099;48221;3205;
2024-07-07;Asturias, Principado de;Asturias;Sin Excedentes Individual;5687;0;36;
2024-07-08;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;2202;4504;2423;
2024-07-08;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2310;3940;3351;
2024-07-08;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;20099;45612;3205;
2024-07-08;Asturias, Principado de;Asturias;Sin Excedentes Individual;5687;0;36;
2024-07-09;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;2237;1829;2423;
2024-07-09;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2360;1486;3351;
2024-07-09;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;20099;69438;3205;
2024-07-09;Asturias, Principado de;Asturias;Sin Excedentes Individual;5687;0;36;
2024-07-10;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;2237;3051;2423;
2024-07-10;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2360;2563;3351;
2024-07-10;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;20099;29263;3205;
2024-07-10;Asturias, Principado de;Asturias;Sin Excedentes Individual;5687;0;36;
2024-07-11;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;2237;3430;2423;
2024-07-11;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2400;2950;3351;
2024-07-11;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;20099;34887;3205;
2024-07-11;Asturias, Principado de;Asturias;Sin Excedentes Individual;5687;0;36;
2024-07-12;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;2237;339;2423;
2024-07-12;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2400;260;3351;
2024-07-12;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;20099;6908;3205;
2024-07-12;Asturias, Principado de;Asturias;Sin Excedentes Individual;5687;0;36;
2024-07-13;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;2237;1815;2423;
2024-07-13;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2400;1459;3351;
2024-07-13;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;20104;25848;3206;
2024-07-13;Asturias, Principado de;Asturias;Sin Excedentes Individual;5687;0;36;
2024-07-14;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;2237;4460;2423;
2024-07-14;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2400;4045;3351;
2024-07-14;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;20104;48561;3206;
2024-07-14;Asturias, Principado de;Asturias;Sin Excedentes Individual;5687;0;36;
2024-07-15;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;2237;4613;2464;
2024-07-15;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2400;4114;3434;
2024-07-15;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;20288;47529;3226;
2024-07-15;Asturias, Principado de;Asturias;Sin Excedentes Individual;5787;0;37;
2024-07-16;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;2237;2480;2464;
2024-07-16;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2400;2092;3434;
2024-07-16;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;20288;27251;3226;
2024-07-16;Asturias, Principado de;Asturias;Sin Excedentes Individual;5787;0;37;
2024-07-17;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;2237;4841;2464;
