dataDate;community;province;selfConsumption;sumPower_kW;sumPouredEnergy_kWh;sumContracts
2023-10-01;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;802;1560;796;
2023-10-01;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1480;1993;1771;
2023-10-01;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;12523;26972;2144;
2023-10-01;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-10-02;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;802;1449;796;
2023-10-02;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1480;1776;1771;
2023-10-02;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;12523;20182;2144;
2023-10-02;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-10-03;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;802;179;796;
2023-10-03;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1480;248;1771;
2023-10-03;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;12523;1478;2144;
2023-10-03;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-10-04;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;802;1252;796;
2023-10-04;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1480;1513;1771;
2023-10-04;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;12523;16060;2144;
2023-10-04;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-10-05;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;802;1489;796;
2023-10-05;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1480;1922;1771;
2023-10-05;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;12540;26127;2148;
2023-10-05;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-10-06;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;802;1407;796;
2023-10-06;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1480;1705;1771;
2023-10-06;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;12540;18932;2148;
2023-10-06;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-10-07;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;802;1452;796;
2023-10-07;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1480;1961;1771;
2023-10-07;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;12540;26169;2148;
2023-10-07;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-10-08;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;802;1460;796;
2023-10-08;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1480;2029;1771;
2023-10-08;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;12540;26702;2148;
2023-10-08;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-10-09;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;802;1391;796;
2023-10-09;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1480;1676;1771;
2023-10-09;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;12540;24333;2148;
2023-10-09;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-10-10;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;802;1400;796;
2023-10-10;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1480;1705;1771;
2023-10-10;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;12540;24575;2148;
2023-10-10;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-10-11;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;802;1226;796;
2023-10-11;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1480;1486;1771;
2023-10-11;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;12540;21095;2148;
2023-10-11;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-10-12;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;802;1267;796;
2023-10-12;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1480;1669;1771;
2023-10-12;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;12540;20685;2148;
2023-10-12;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-10-13;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;802;68;796;
2023-10-13;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1480;173;1771;
2023-10-13;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;12540;1194;2148;
