dataDate;community;province;selfConsumption;sumPower_kW;sumPouredEnergy_kWh;sumContracts
2024-05-01;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1531;2821;1945;
2024-05-01;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1913;2737;2941;
2024-05-01;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;18433;32668;3021;
2024-05-01;Asturias, Principado de;Asturias;Sin Excedentes Individual;5138;0;30;
2024-05-02;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1531;2249;1945;
2024-05-02;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1913;2252;2941;
2024-05-02;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;18433;31728;3021;
2024-05-02;Asturias, Principado de;Asturias;Sin Excedentes Individual;5138;0;30;
2024-05-03;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1531;1327;1945;
2024-05-03;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1913;1222;2941;
2024-05-03;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;18433;15699;3021;
2024-05-03;Asturias, Principado de;Asturias;Sin Excedentes Individual;5138;0;30;
2024-05-04;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1531;1327;1945;
2024-05-04;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1913;1415;2940;
2024-05-04;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;18433;14016;3021;
2024-05-04;Asturias, Principado de;Asturias;Sin Excedentes Individual;5138;0;30;
2024-05-05;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1531;444;1945;
2024-05-05;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1913;493;2940;
2024-05-05;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;18433;4992;3021;
2024-05-05;Asturias, Principado de;Asturias;Sin Excedentes Individual;5138;0;30;
2024-05-06;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1531;2978;1945;
2024-05-06;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1913;3031;2940;
2024-05-06;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;18433;32995;3021;
2024-05-06;Asturias, Principado de;Asturias;Sin Excedentes Individual;5138;0;30;
2024-05-07;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1531;4373;1945;
2024-05-07;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1913;4330;2940;
