dataDate;community;province;selfConsumption;sumPower_kW;sumPouredEnergy_kWh;sumContracts
2024-02-01;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1169;865;1257;
2024-02-01;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1724;972;2481;
2024-02-01;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;16198;5970;2701;
2024-02-01;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2024-02-02;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1169;1217;1257;
2024-02-02;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1724;1500;2481;
2024-02-02;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;16203;17921;2702;
2024-02-02;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2024-02-03;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1169;1109;1257;
2024-02-03;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1724;1233;2481;
2024-02-03;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;16203;15159;2702;
2024-02-03;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2024-02-04;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1169;1417;1257;
2024-02-04;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1724;1670;2481;
2024-02-04;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;16208;20593;2703;
2024-02-04;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2024-02-05;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1169;957;1257;
2024-02-05;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1724;1122;2481;
2024-02-05;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;16208;6664;2703;
2024-02-05;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2024-02-06;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1169;1274;1257;
2024-02-06;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1724;1483;2481;
2024-02-06;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;16208;17250;2703;
2024-02-06;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2024-02-07;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1169;342;1257;
2024-02-07;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1724;293;2481;
2024-02-07;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;16208;2606;2703;
2024-02-07;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2024-02-08;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1169;673;1257;
2024-02-08;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1724;759;2481;
2024-02-08;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;16208;4568;2703;
2024-02-08;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2024-02-09;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1169;230;1257;
2024-02-09;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1724;264;2481;
2024-02-09;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;16208;2592;2703;
2024-02-09;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
