dataDate;community;province;selfConsumption;sumPower_kW;sumPouredEnergy_kWh;sumContracts
2023-08-01;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;735;1341;730;
2023-08-01;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1221;1842;1220;
2023-08-01;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;10744;23412;1896;
2023-08-01;Asturias, Principado de;Asturias;Sin Excedentes Individual;3977;0;18;
2023-08-02;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;735;407;730;
2023-08-02;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1221;453;1220;
2023-08-02;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;10744;8561;1896;
2023-08-02;Asturias, Principado de;Asturias;Sin Excedentes Individual;3977;0;18;
2023-08-03;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;735;617;730;
2023-08-03;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1221;712;1220;
2023-08-03;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;10755;11435;1897;
2023-08-03;Asturias, Principado de;Asturias;Sin Excedentes Individual;3977;0;18;
2023-08-04;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;735;924;730;
2023-08-04;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1221;1094;1220;
2023-08-04;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;10759;20917;1898;
2023-08-04;Asturias, Principado de;Asturias;Sin Excedentes Individual;3977;0;18;
2023-08-05;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;735;1684;730;
2023-08-05;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1221;2217;1220;
2023-08-05;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;10779;29695;1902;
2023-08-05;Asturias, Principado de;Asturias;Sin Excedentes Individual;3977;0;18;
2023-08-06;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;735;1240;730;
2023-08-06;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1221;1592;1220;
2023-08-06;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;10779;19604;1902;
2023-08-06;Asturias, Principado de;Asturias;Sin Excedentes Individual;3977;0;18;
2023-08-07;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;735;1798;730;
2023-08-07;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1221;2444;1220;
2023-08-07;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;10779;34995;1902;
2023-08-07;Asturias, Principado de;Asturias;Sin Excedentes Individual;3977;0;18;
2023-08-08;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;735;1614;730;
2023-08-08;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1221;2310;1220;
2023-08-08;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;10779;34489;1902;
2023-08-08;Asturias, Principado de;Asturias;Sin Excedentes Individual;3977;0;18;
2023-08-09;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;735;1452;730;
2023-08-09;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1221;1957;1220;
2023-08-09;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;10779;27539;1902;
2023-08-09;Asturias, Principado de;Asturias;Sin Excedentes Individual;3977;0;18;
2023-08-10;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;735;1645;730;
2023-08-10;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1221;2115;1220;
