dataDate;community;province;selfConsumption;sumPower_kW;sumPouredEnergy_kWh;sumContracts
2023-09-01;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;782;784;767;
2023-09-01;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1254;975;1475;
2023-09-01;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;11627;15712;2049;
2023-09-01;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-09-02;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;782;331;767;
2023-09-02;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1254;520;1475;
2023-09-02;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;11632;6464;2050;
2023-09-02;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-09-03;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;782;1084;767;
2023-09-03;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1254;1610;1475;
2023-09-03;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;11632;17265;2050;
2023-09-03;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-09-04;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;782;850;767;
2023-09-04;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1254;1111;1475;
2023-09-04;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;11632;12736;2050;
2023-09-04;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-09-05;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;782;1133;767;
2023-09-05;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1254;1489;1475;
2023-09-05;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;11632;25274;2050;
2023-09-05;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-09-06;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;782;1216;767;
2023-09-06;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1254;1638;1475;
2023-09-06;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;11632;23729;2050;
2023-09-06;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-09-07;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;782;1008;767;
2023-09-07;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1254;1301;1475;
2023-09-07;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;11692;16004;2051;
2023-09-07;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-09-08;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;782;1321;767;
2023-09-08;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1254;1851;1475;
2023-09-08;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;11699;25750;2053;
2023-09-08;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-09-09;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;782;1036;767;
2023-09-09;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1254;1497;1475;
2023-09-09;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;11699;19463;2053;
2023-09-09;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-09-10;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;782;1214;767;
2023-09-10;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1254;1695;1475;
2023-09-10;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;11699;22788;2053;
2023-09-10;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-09-11;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;782;431;767;
2023-09-11;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1254;552;1475;
2023-09-11;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;11699;9403;2053;
2023-09-11;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-09-12;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;782;788;767;
2023-09-12;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1254;1114;1475;
2023-09-12;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;11699;18682;2053;
2023-09-12;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-09-13;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;782;1260;767;
2023-09-13;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1254;1576;1475;
2023-09-13;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;11699;15732;2053;
2023-09-13;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-09-14;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;782;1279;767;
2023-09-14;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1254;1658;1475;
2023-09-14;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;11699;23388;2053;
2023-09-14;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-09-15;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;782;749;783;
2023-09-15;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1368;1026;1556;
2023-09-15;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;12268;12038;2101;
2023-09-15;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-09-16;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;782;761;783;
2023-09-16;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1368;1159;1556;
2023-09-16;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;12268;15504;2101;
2023-09-16;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-09-17;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;782;1146;783;
2023-09-17;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1368;1692;1556;
2023-09-17;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;12268;26324;2101;
