dataDate;community;province;selfConsumption;sumPower_kW;sumPouredEnergy_kWh;sumContracts
2023-09-17;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-09-18;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;782;1235;783;
2023-09-18;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1368;1698;1556;
2023-09-18;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;12268;21330;2101;
2023-09-18;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-09-19;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;782;1416;783;
2023-09-19;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1368;1910;1556;
2023-09-19;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;12268;28071;2101;
2023-09-19;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-09-20;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;782;1151;783;
2023-09-20;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1368;1585;1556;
2023-09-20;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;12268;23403;2101;
2023-09-20;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-09-21;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;782;1088;783;
2023-09-21;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1368;1575;1556;
2023-09-21;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;12271;19496;2102;
2023-09-21;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-09-22;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;782;767;783;
2023-09-22;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1368;1045;1556;
2023-09-22;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;12271;13933;2102;
2023-09-22;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-09-23;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;782;1576;783;
2023-09-23;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1368;2423;1556;
2023-09-23;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;12271;32071;2102;
2023-09-23;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-09-24;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;782;1528;783;
2023-09-24;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1368;2364;1556;
2023-09-24;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;12271;32321;2102;
2023-09-24;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-09-25;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;782;1445;783;
2023-09-25;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1368;1994;1556;
2023-09-25;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;12271;29337;2102;
2023-09-25;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-09-26;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;782;1213;783;
2023-09-26;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1368;1551;1556;
2023-09-26;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;12271;20103;2102;
2023-09-26;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-09-27;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;782;1063;783;
2023-09-27;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1368;1484;1556;
2023-09-27;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;12279;18572;2104;
2023-09-27;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-09-28;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;782;1309;783;
2023-09-28;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1368;1831;1556;
2023-09-28;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;12279;27697;2104;
2023-09-28;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-09-29;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;782;1298;783;
2023-09-29;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1368;1675;1556;
2023-09-29;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;12279;16527;2104;
2023-09-29;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
2023-09-30;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;782;1328;783;
2023-09-30;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1368;1987;1556;
2023-09-30;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;12279;28529;2104;
2023-09-30;Asturias, Principado de;Asturias;Sin Excedentes Individual;3983;0;19;
