dataDate;community;province;selfConsumption;sumPower_kW;sumPouredEnergy_kWh;sumContracts
2024-04-01;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1349;1572;1794;
2024-04-01;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1848;1638;2749;
2024-04-01;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;17787;25823;2929;
2024-04-01;Asturias, Principado de;Asturias;Sin Excedentes Individual;4418;0;28;
2024-04-02;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1349;405;1794;
2024-04-02;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1848;227;2749;
2024-04-02;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;17787;3038;2929;
2024-04-02;Asturias, Principado de;Asturias;Sin Excedentes Individual;4418;0;28;
2024-04-03;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1349;1884;1794;
2024-04-03;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1848;1950;2749;
2024-04-03;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;17787;27438;2929;
2024-04-03;Asturias, Principado de;Asturias;Sin Excedentes Individual;4418;0;28;
2024-04-04;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1349;1658;1794;
2024-04-04;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1848;1684;2749;
2024-04-04;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;17792;23200;2930;
2024-04-04;Asturias, Principado de;Asturias;Sin Excedentes Individual;4418;0;28;
2024-04-05;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1349;1431;1794;
2024-04-05;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1848;1441;2749;
2024-04-05;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;17797;17207;2931;
2024-04-05;Asturias, Principado de;Asturias;Sin Excedentes Individual;4418;0;28;
2024-04-06;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1349;834;1794;
2024-04-06;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1848;776;2749;
2024-04-06;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;17797;10942;2931;
2024-04-06;Asturias, Principado de;Asturias;Sin Excedentes Individual;4418;0;28;
2024-04-07;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1349;2236;1794;
2024-04-07;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1848;2418;2749;
2024-04-07;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;17797;32480;2931;
2024-04-07;Asturias, Principado de;Asturias;Sin Excedentes Individual;4418;0;28;
2024-04-08;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1349;504;1794;
2024-04-08;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1848;366;2749;
2024-04-08;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;17797;3979;2931;
2024-04-08;Asturias, Principado de;Asturias;Sin Excedentes Individual;4418;0;28;
2024-04-09;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1349;2253;1794;
2024-04-09;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1848;2308;2749;
2024-04-09;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;17808;32631;2933;
2024-04-09;Asturias, Principado de;Asturias;Sin Excedentes Individual;4418;0;28;
2024-04-10;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1349;1964;1794;
2024-04-10;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1848;2019;2749;
2024-04-10;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;17808;32329;2933;
2024-04-10;Asturias, Principado de;Asturias;Sin Excedentes Individual;4418;0;28;
2024-04-11;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1349;3055;1794;
2024-04-11;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1848;3217;2749;
2024-04-11;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;17822;46541;2935;
2024-04-11;Asturias, Principado de;Asturias;Sin Excedentes Individual;4418;0;28;
2024-04-12;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1349;2882;1794;
2024-04-12;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1848;3272;2749;
2024-04-12;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;17822;47011;2935;
2024-04-12;Asturias, Principado de;Asturias;Sin Excedentes Individual;4418;0;28;
2024-04-13;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1349;2735;1794;
2024-04-13;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1848;3071;2749;
2024-04-13;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;17822;46676;2935;
2024-04-13;Asturias, Principado de;Asturias;Sin Excedentes Individual;4418;0;28;
2024-04-14;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1349;2832;1794;
2024-04-14;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1848;3264;2749;
2024-04-14;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;17822;43523;2935;
2024-04-14;Asturias, Principado de;Asturias;Sin Excedentes Individual;4418;0;28;
2024-04-15;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;1426;848;1869;
2024-04-15;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1848;598;2844;
