dataDate;community;province;selfConsumption;sumPower_kW;sumPouredEnergy_kWh;sumContracts
2024-08-01;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;2285;716;2600;
2024-08-01;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2547;462;3605;
2024-08-01;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;20875;4402;3265;
2024-08-01;Asturias, Principado de;Asturias;Sin Excedentes Individual;5787;0;37;
2024-08-02;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;2285;845;2600;
2024-08-02;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2547;532;3605;
2024-08-02;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;20875;4799;3264;
2024-08-02;Asturias, Principado de;Asturias;Sin Excedentes Individual;5787;0;37;
2024-08-03;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;2285;4687;2600;
2024-08-03;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2547;3740;3605;
2024-08-03;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;20875;45897;3264;
2024-08-03;Asturias, Principado de;Asturias;Sin Excedentes Individual;5787;0;37;
2024-08-04;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;2285;4349;2600;
2024-08-04;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2547;3596;3605;
2024-08-04;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;20875;48568;3264;
2024-08-04;Asturias, Principado de;Asturias;Sin Excedentes Individual;5787;0;37;
2024-08-05;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;2285;2078;2600;
2024-08-05;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2547;1532;3605;
2024-08-05;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;20875;22822;3264;
2024-08-05;Asturias, Principado de;Asturias;Sin Excedentes Individual;5787;0;37;
2024-08-06;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;2295;2489;2600;
2024-08-06;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;2627;1919;3605;
2024-08-06;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;20875;27820;3264;
2024-08-06;Asturias, Principado de;Asturias;Sin Excedentes Individual;5787;0;37;
